Datum;Bundesland;Altersgruppe;7T_Hospitalisierung_Faelle;7T_Hospitalisierung_Inzidenz
2023-03-04;Nordrhein-Westfalen;00+;2384;13.14
2023-03-04;Nordrhein-Westfalen;60-79;845;21.37
2023-03-03;Nordrhein-Westfalen;00+;2445;13.48
2023-03-03;Nordrhein-Westfalen;15-34;166;3.94
2023-03-03;Nordrhein-Westfalen;60-79;869;21.97
2023-03-03;Nordrhein-Westfalen;80+;990;77.45
2023-03-02;Bundesgebiet;00+;9562;11.33
2023-03-02;Bundesgebiet;15-34;649;3.41
2023-03-02;Bundesgebiet;60-79;3382;18.04
2023-03-02;Nordrhein-Westfalen;00+;2529;13.94
2023-03-02;Nordrhein-Westfalen;60-79;903;22.83
2023-03-01;Bundesgebiet;00-04;206;5.16
2023-03-01;Bundesgebiet;80+;4062;66.45
2023-03-01;Nordrhein-Westfalen;00-04;48;5.46
2023-03-01;Nordrhein-Westfalen;35-59;356;5.86
2023-03-01;Nordrhein-Westfalen;60-79;931;23.54
2023-02-28;Bundesgebiet;00+;10231;12.13
2023-02-28;Bundesgebiet;35-59;1425;5.0
2023-02-28;Nordrhein-Westfalen;00-04;53;6.03
2023-02-28;Nordrhein-Westfalen;00+;2804;15.46
2023-02-28;Nordrhein-Westfalen;15-34;224;5.31
2023-02-28;Nordrhein-Westfalen;60-79;1012;25.59
2023-02-28;Nordrhein-Westfalen;80+;1139;89.1
2023-02-27;Bundesgebiet;05-14;55;0.69
2023-02-27;Bundesgebiet;35-59;1376;4.83
2023-02-27;Bundesgebiet;60-79;3528;18.82
2023-02-27;Nordrhein-Westfalen;15-34;184;4.36
2023-02-26;Bundesgebiet;00-04;205;5.14
2023-02-26;Bundesgebiet;00+;9902;11.74
2023-02-26;Bundesgebiet;35-59;1376;4.83
2023-02-26;Bundesgebiet;80+;4082;66.78
2023-02-26;Nordrhein-Westfalen;00+;2519;13.89
2023-02-26;Nordrhein-Westfalen;05-14;9;0.52
2023-02-26;Nordrhein-Westfalen;80+;1035;80.97
2023-02-25;Bundesgebiet;15-34;635;3.33
2023-02-25;Bundesgebiet;35-59;1362;4.78
2023-02-25;Nordrhein-Westfalen;00+;2471;13.62
2023-02-25;Nordrhein-Westfalen;05-14;8;0.46
2023-02-24;Bundesgebiet;05-14;54;0.68
2023-02-24;Bundesgebiet;15-34;619;3.25
2023-02-24;Bundesgebiet;35-59;1348;4.73
2023-02-24;Nordrhein-Westfalen;00-04;50;5.69
2023-02-24;Nordrhein-Westfalen;15-34;177;4.2
2023-02-24;Nordrhein-Westfalen;80+;1024;80.11
2023-02-23;Bundesgebiet;00+;9679;11.47
2023-02-23;Bundesgebiet;05-14;49;0.62
2023-02-23;Nordrhein-Westfalen;60-79;856;21.64
2023-02-22;Bundesgebiet;00+;9479;11.24
2023-02-22;Bundesgebiet;15-34;570;2.99
2023-02-22;Bundesgebiet;35-59;1303;4.57
2023-02-22;Bundesgebiet;60-79;3370;17.97
2023-02-21;Bundesgebiet;00-04;188;4.71
2023-02-21;Bundesgebiet;15-34;555;2.91
2023-02-21;Bundesgebiet;35-59;1322;4.64
2023-02-21;Nordrhein-Westfalen;00+;2230;12.29
2023-02-21;Nordrhein-Westfalen;05-14;5;0.29
2023-02-21;Nordrhein-Westfalen;80+;933;72.99
2023-02-20;Bundesgebiet;05-14;55;0.69
2023-02-20;Bundesgebiet;60-79;3266;17.42
2023-02-20;Nordrhein-Westfalen;00-04;42;4.78
2023-02-20;Nordrhein-Westfalen;15-34;147;3.48
2023-02-20;Nordrhein-Westfalen;35-59;339;5.58
2023-02-19;Bundesgebiet;00+;9151;10.85
2023-02-19;Bundesgebiet;05-14;55;0.69
2023-02-19;Nordrhein-Westfalen;00-04;37;4.21
2023-02-19;Nordrhein-Westfalen;15-34;151;3.58
2023-02-19;Nordrhein-Westfalen;80+;1040;81.36
2023-02-18;Bundesgebiet;00-04;174;4.36
2023-02-18;Bundesgebiet;00+;9145;10.84
2023-02-18;Bundesgebiet;05-14;55;0.69
2023-02-18;Bundesgebiet;15-34;586;3.07
2023-02-18;Nordrhein-Westfalen;15-34;149;3.53
2023-02-17;Bundesgebiet;05-14;61;0.77
2023-02-17;Nordrhein-Westfalen;00+;2400;13.23
2023-02-17;Nordrhein-Westfalen;05-14;6;0.35
2023-02-17;Nordrhein-Westfalen;35-59;348;5.72
2023-02-17;Nordrhein-Westfalen;80+;1007;78.78
2023-02-16;Bundesgebiet;80+;3530;57.75
2023-02-16;Nordrhein-Westfalen;00-04;36;4.1
2023-02-16;Nordrhein-Westfalen;80+;1020;79.79
2023-02-15;Bundesgebiet;05-14;71;0.89
2023-02-15;Bundesgebiet;35-59;1219;4.28
2023-02-15;Bundesgebiet;80+;3348;54.77
2023-02-14;Bundesgebiet;15-34;501;2.63
2023-02-14;Bundesgebiet;60-79;2701;14.41
2023-02-14;Nordrhein-Westfalen;15-34;125;2.96
2023-02-14;Nordrhein-Westfalen;80+;917;71.73
2023-02-13;Bundesgebiet;00-04;169;4.24
2023-02-13;Nordrhein-Westfalen;05-14;10;0.58
2023-02-13;Nordrhein-Westfalen;80+;860;67.28
2023-02-12;Bundesgebiet;00+;7278;8.63
2023-02-12;Bundesgebiet;80+;2967;48.54
2023-02-12;Nordrhein-Westfalen;05-14;12;0.69
2023-02-11;Bundesgebiet;60-79;2493;13.3
2023-02-11;Nordrhein-Westfalen;35-59;284;4.67
2023-02-10;Bundesgebiet;15-34;459;2.41
2023-02-10;Bundesgebiet;80+;2916;47.7
2023-02-10;Nordrhein-Westfalen;05-14;14;0.81
2023-02-10;Nordrhein-Westfalen;15-34;117;2.77
2023-02-10;Nordrhein-Westfalen;35-59;281;4.62
2023-02-10;Nordrhein-Westfalen;80+;850;66.49
2023-02-09;Bundesgebiet;80+;2781;45.49
2023-02-09;Nordrhein-Westfalen;00+;1905;10.5
2023-02-08;Bundesgebiet;05-14;72;0.91
2023-02-08;Bundesgebiet;35-59;1020;3.58
2023-02-08;Bundesgebiet;80+;2731;44.68
2023-02-07;Bundesgebiet;15-34;463;2.43
2023-02-07;Bundesgebiet;35-59;979;3.43
2023-02-07;Bundesgebiet;80+;2627;42.97
2023-02-07;Nordrhein-Westfalen;05-14;17;0.98
2023-02-06;Bundesgebiet;00-04;147;3.69
2023-02-06;Bundesgebiet;00+;6129;7.27
2023-02-06;Bundesgebiet;80+;2433;39.8
2023-02-06;Nordrhein-Westfalen;00+;1662;9.16
2023-02-06;Nordrhein-Westfalen;80+;656;51.32
2023-02-05;Bundesgebiet;00-04;142;3.56
2023-02-05;Bundesgebiet;00+;6103;7.23
2023-02-05;Bundesgebiet;05-14;68;0.86
2023-02-05;Nordrhein-Westfalen;00+;1646;9.07
2023-02-05;Nordrhein-Westfalen;05-14;16;0.93
2023-02-04;Bundesgebiet;00-04;141;3.54
2023-02-04;Nordrhein-Westfalen;00-04;38;4.32
2023-02-04;Nordrhein-Westfalen;00+;1616;8.91
2023-02-04;Nordrhein-Westfalen;60-79;579;14.64
2023-02-03;Bundesgebiet;00-04;142;3.56
2023-02-03;Bundesgebiet;15-34;418;2.19
2023-02-03;Bundesgebiet;35-59;865;3.03
2023-02-03;Nordrhein-Westfalen;00+;1513;8.34
2023-02-02;Bundesgebiet;00+;5774;6.84
2023-02-02;Bundesgebiet;60-79;1970;10.51
2023-02-02;Bundesgebiet;80+;2327;38.07
2023-02-02;Nordrhein-Westfalen;00+;1464;8.07
2023-02-02;Nordrhein-Westfalen;05-14;13;0.75
2023-02-02;Nordrhein-Westfalen;60-79;538;13.6
2023-02-02;Nordrhein-Westfalen;80+;573;44.82
2023-02-01;Bundesgebiet;60-79;1916;10.22
2023-02-01;Nordrhein-Westfalen;35-59;200;3.29
2023-01-31;Bundesgebiet;00+;5326;6.31
2023-01-31;Bundesgebiet;05-14;77;0.97
2023-01-31;Bundesgebiet;60-79;1828;9.75
2023-01-31;Bundesgebiet;80+;2142;35.04
2023-01-31;Nordrhein-Westfalen;00-04;28;3.19
2023-01-31;Nordrhein-Westfalen;05-14;13;0.75
2023-01-31;Nordrhein-Westfalen;80+;511;39.97
2023-01-30;Bundesgebiet;15-34;361;1.89
2023-01-30;Bundesgebiet;35-59;717;2.52
2023-01-30;Nordrhein-Westfalen;00-04;30;3.41
2023-01-30;Nordrhein-Westfalen;00+;1294;7.13
2023-01-30;Nordrhein-Westfalen;15-34;83;1.97
2023-01-29;Bundesgebiet;00+;5110;6.06
2023-01-29;Bundesgebiet;05-14;75;0.94
2023-01-29;Nordrhein-Westfalen;60-79;456;11.53
2023-01-28;Bundesgebiet;05-14;76;0.96
2023-01-28;Bundesgebiet;15-34;358;1.88
2023-01-28;Bundesgebiet;35-59;700;2.46
2023-01-28;Bundesgebiet;60-79;1750;9.33
2023-01-28;Nordrhein-Westfalen;00-04;28;3.19
2023-01-27;Bundesgebiet;00+;4914;5.83
2023-01-27;Bundesgebiet;15-34;359;1.88
2023-01-26;Bundesgebiet;35-59;638;2.24
2023-01-26;Bundesgebiet;60-79;1644;8.77
2023-01-26;Nordrhein-Westfalen;00+;1136;6.26
2023-01-26;Nordrhein-Westfalen;05-14;19;1.1
2023-01-25;Bundesgebiet;60-79;1628;8.68
2023-01-25;Nordrhein-Westfalen;80+;477;37.31
2023-01-24;Bundesgebiet;00-04;130;3.26
2023-01-24;Bundesgebiet;00+;4678;5.55
2023-01-24;Bundesgebiet;15-34;310;1.63
2023-01-24;Nordrhein-Westfalen;05-14;17;0.98
2023-01-23;Bundesgebiet;05-14;43;0.54
2023-01-23;Bundesgebiet;80+;2073;33.91
2023-01-23;Nordrhein-Westfalen;00-04;33;3.75
2023-01-22;Bundesgebiet;15-34;304;1.6
2023-01-22;Bundesgebiet;60-79;1678;8.95
2023-01-22;Nordrhein-Westfalen;00-04;35;3.98
2023-01-22;Nordrhein-Westfalen;05-14;15;0.87
2023-01-21;Bundesgebiet;60-79;1704;9.09
2023-01-21;Bundesgebiet;80+;2050;33.54
2023-01-21;Nordrhein-Westfalen;00-04;35;3.98
2023-01-21;Nordrhein-Westfalen;05-14;14;0.81
2023-01-21;Nordrhein-Westfalen;80+;481;37.63
2023-01-20;Bundesgebiet;00+;5113;6.06
2023-01-20;Bundesgebiet;05-14;49;0.62
2023-01-20;Bundesgebiet;15-34;302;1.58
2023-01-20;Nordrhein-Westfalen;35-59;176;2.89
2023-01-20;Nordrhein-Westfalen;60-79;430;10.87
2023-01-19;Bundesgebiet;00-04;123;3.08
2023-01-19;Bundesgebiet;15-34;303;1.59
2023-01-19;Bundesgebiet;35-59;704;2.47
2023-01-19;Nordrhein-Westfalen;00+;1295;7.14
2023-01-19;Nordrhein-Westfalen;35-59;186;3.06
2023-01-19;Nordrhein-Westfalen;60-79;461;11.66
2023-01-18;Bundesgebiet;05-14;46;0.58
2023-01-18;Bundesgebiet;35-59;723;2.54
2023-01-18;Nordrhein-Westfalen;00-04;33;3.75
2023-01-18;Nordrhein-Westfalen;00+;1356;7.48
2023-01-18;Nordrhein-Westfalen;35-59;203;3.34
2023-01-17;Bundesgebiet;00+;5949;7.05
2023-01-17;Bundesgebiet;05-14;42;0.53
2023-01-17;Bundesgebiet;15-34;344;1.8
2023-01-17;Bundesgebiet;35-59;768;2.69
2023-01-17;Nordrhein-Westfalen;15-34;80;1.9
2023-01-16;Bundesgebiet;00-04;131;3.28
2023-01-16;Bundesgebiet;15-34;371;1.95
2023-01-16;Bundesgebiet;60-79;2462;13.13
2023-01-16;Nordrhein-Westfalen;15-34;88;2.09
2023-01-15;Bundesgebiet;05-14;42;0.53
2023-01-15;Bundesgebiet;15-34;375;1.97
2023-01-15;Bundesgebiet;60-79;2473;13.19
2023-01-15;Nordrhein-Westfalen;05-14;10;0.58
2023-01-14;Bundesgebiet;05-14;43;0.54
2023-01-14;Bundesgebiet;15-34;382;2.0
2023-01-14;Bundesgebiet;35-59;882;3.09
2023-01-14;Bundesgebiet;80+;2886;47.21
2023-01-14;Nordrhein-Westfalen;60-79;585;14.79
2023-01-14;Nordrhein-Westfalen;80+;698;54.6
2023-01-13;Bundesgebiet;35-59;885;3.1
2023-01-13;Nordrhein-Westfalen;00-04;36;4.1
2023-01-13;Nordrhein-Westfalen;60-79;622;15.73
2023-01-13;Nordrhein-Westfalen;80+;730;57.11
2023-01-12;Bundesgebiet;00+;7422;8.8
2023-01-12;Bundesgebiet;35-59;973;3.41
2023-01-12;Nordrhein-Westfalen;00+;1904;10.5
2023-01-12;Nordrhein-Westfalen;60-79;674;17.04
2023-01-11;Bundesgebiet;05-14;39;0.49
2023-01-11;Bundesgebiet;80+;3465;56.68
2023-01-11;Nordrhein-Westfalen;00-04;36;4.1
2023-01-11;Nordrhein-Westfalen;00+;2081;11.47
2023-01-11;Nordrhein-Westfalen;05-14;8;0.46
2023-01-10;Bundesgebiet;00-04;153;3.84
2023-01-10;Bundesgebiet;80+;3787;61.95
2023-01-10;Nordrhein-Westfalen;35-59;314;5.16
2023-01-10;Nordrhein-Westfalen;60-79;797;20.15
2023-01-09;Bundesgebiet;00+;9133;10.83
2023-01-09;Bundesgebiet;15-34;483;2.53
2023-01-09;Bundesgebiet;35-59;1165;4.09
2023-01-09;Bundesgebiet;60-79;3209;17.12
2023-01-09;Nordrhein-Westfalen;00-04;26;2.96
2023-01-09;Nordrhein-Westfalen;05-14;12;0.69
2023-01-09;Nordrhein-Westfalen;15-34;137;3.25
2023-01-09;Nordrhein-Westfalen;35-59;299;4.92
2023-01-09;Nordrhein-Westfalen;60-79;835;21.11
2023-01-08;Bundesgebiet;05-14;37;0.47
2023-01-08;Nordrhein-Westfalen;15-34;137;3.25
2023-01-08;Nordrhein-Westfalen;80+;1074;84.02
2023-01-07;Bundesgebiet;00+;9358;11.09
2023-01-07;Bundesgebiet;35-59;1198;4.2
2023-01-07;Bundesgebiet;60-79;3275;17.47
2023-01-06;Bundesgebiet;05-14;39;0.49
2023-01-06;Bundesgebiet;15-34;515;2.7
2023-01-06;Nordrhein-Westfalen;00+;2583;14.24
2023-01-06;Nordrhein-Westfalen;35-59;317;5.21
2023-01-05;Bundesgebiet;00+;10521;12.47
2023-01-05;Bundesgebiet;35-59;1298;4.55
2023-01-05;Nordrhein-Westfalen;00-04;28;3.19
2023-01-05;Nordrhein-Westfalen;35-59;334;5.49
2023-01-04;Bundesgebiet;00-04;187;4.69
2023-01-04;Bundesgebiet;05-14;46;0.58
2023-01-04;Bundesgebiet;15-34;561;2.94
2023-01-04;Bundesgebiet;35-59;1388;4.87
2023-01-03;Bundesgebiet;00-04;221;5.54
2023-01-03;Bundesgebiet;60-79;4432;23.64
2023-01-03;Nordrhein-Westfalen;00-04;36;4.1
2023-01-03;Nordrhein-Westfalen;05-14;10;0.58
2023-01-03;Nordrhein-Westfalen;35-59;368;6.05
2023-01-03;Nordrhein-Westfalen;60-79;1062;26.85
2023-01-02;Bundesgebiet;15-34;490;2.57
2023-01-02;Bundesgebiet;60-79;3594;19.17
2023-01-02;Nordrhein-Westfalen;00-04;33;3.75
2023-01-02;Nordrhein-Westfalen;00+;2716;14.97
2023-01-02;Nordrhein-Westfalen;35-59;326;5.36
2023-01-02;Nordrhein-Westfalen;60-79;938;23.72
2023-01-01;Nordrhein-Westfalen;00+;2721;15.0
2023-01-01;Nordrhein-Westfalen;60-79;948;23.97
2022-12-31;Nordrhein-Westfalen;05-14;6;0.35
2022-12-31;Nordrhein-Westfalen;80+;1270;99.35
2022-12-30;Bundesgebiet;15-34;505;2.65
2022-12-30;Bundesgebiet;35-59;1343;4.71
2022-12-30;Bundesgebiet;80+;4902;80.19
2022-12-30;Nordrhein-Westfalen;00+;2837;15.64
2022-12-30;Nordrhein-Westfalen;80+;1338;104.67
2022-12-29;Bundesgebiet;00-04;189;4.74
2022-12-29;Bundesgebiet;05-14;41;0.52
2022-12-29;Nordrhein-Westfalen;15-34;139;3.3
2022-12-29;Nordrhein-Westfalen;80+;1314;102.79
2022-12-28;Bundesgebiet;00-04;169;4.24
2022-12-28;Bundesgebiet;05-14;44;0.55
2022-12-28;Bundesgebiet;80+;4958;81.11
2022-12-28;Nordrhein-Westfalen;80+;1334;104.36
2022-12-27;Bundesgebiet;00-04;132;3.31
2022-12-27;Bundesgebiet;15-34;524;2.75
2022-12-27;Bundesgebiet;35-59;1397;4.9
2022-12-27;Nordrhein-Westfalen;35-59;383;6.3
2022-12-27;Nordrhein-Westfalen;80+;1402;109.68
2022-12-26;Bundesgebiet;00+;13837;16.4
2022-12-26;Bundesgebiet;15-34;670;3.52
2022-12-26;Bundesgebiet;60-79;5006;26.7
2022-12-26;Bundesgebiet;80+;6134;100.34
2022-12-26;Nordrhein-Westfalen;00-04;52;5.92
2022-12-26;Nordrhein-Westfalen;00+;3798;20.94
2022-12-26;Nordrhein-Westfalen;35-59;467;7.68
2022-12-25;Bundesgebiet;05-14;61;0.77
2022-12-25;Bundesgebiet;15-34;670;3.52
2022-12-25;Bundesgebiet;60-79;5031;26.83
2022-12-25;Nordrhein-Westfalen;35-59;474;7.8
2022-12-25;Nordrhein-Westfalen;60-79;1387;35.07
2022-12-24;Bundesgebiet;05-14;66;0.83
2022-12-24;Bundesgebiet;60-79;5040;26.88
2022-12-24;Bundesgebiet;80+;6264;102.47
2022-12-24;Nordrhein-Westfalen;05-14;18;1.04
2022-12-24;Nordrhein-Westfalen;15-34;191;4.53
2022-12-23;Bundesgebiet;00-04;157;3.94
2022-12-23;Bundesgebiet;05-14;63;0.79
2022-12-23;Bundesgebiet;80+;6193;101.31
2022-12-23;Nordrhein-Westfalen;35-59;483;7.94
2022-12-22;Bundesgebiet;00+;13659;16.19
2022-12-22;Nordrhein-Westfalen;00+;3745;20.65
2022-12-22;Nordrhein-Westfalen;80+;1683;131.66
2022-12-21;Bundesgebiet;00+;13323;15.79
2022-12-21;Bundesgebiet;35-59;1725;6.05
2022-12-21;Bundesgebiet;60-79;4792;25.56
2022-12-21;Nordrhein-Westfalen;00+;3558;19.62
2022-12-20;Bundesgebiet;00-04;158;3.96
2022-12-20;Bundesgebiet;00+;12886;15.28
2022-12-20;Bundesgebiet;05-14;52;0.65
2022-12-20;Bundesgebiet;35-59;1681;5.9
2022-12-20;Bundesgebiet;60-79;4567;24.36
2022-12-20;Bundesgebiet;80+;5809;95.03
2022-12-20;Nordrhein-Westfalen;00+;3473;19.15
2022-12-20;Nordrhein-Westfalen;15-34;174;4.12
2022-12-19;Bundesgebiet;00+;12630;14.97
2022-12-19;Bundesgebiet;05-14;47;0.59
2022-12-19;Bundesgebiet;80+;5652;92.46
2022-12-19;Nordrhein-Westfalen;15-34;184;4.36
2022-12-18;Bundesgebiet;00-04;168;4.21
2022-12-18;Bundesgebiet;60-79;4456;23.77
2022-12-18;Nordrhein-Westfalen;05-14;16;0.93
2022-12-18;Nordrhein-Westfalen;15-34;185;4.39
2022-12-17;Bundesgebiet;05-14;45;0.57
2022-12-17;Bundesgebiet;35-59;1677;5.88
2022-12-17;Nordrhein-Westfalen;00+;3335;18.39
2022-12-17;Nordrhein-Westfalen;15-34;172;4.08
2022-12-16;Bundesgebiet;00+;12401;14.7
2022-12-16;Bundesgebiet;35-59;1665;5.84
2022-12-16;Nordrhein-Westfalen;05-14;12;0.69
2022-12-16;Nordrhein-Westfalen;15-34;167;3.96
2022-12-16;Nordrhein-Westfalen;35-59;470;7.73
2022-12-15;Bundesgebiet;15-34;592;3.11
2022-12-15;Bundesgebiet;60-79;4294;22.9
2022-12-15;Bundesgebiet;80+;5446;89.09
2022-12-15;Nordrhein-Westfalen;00-04;33;3.75
2022-12-14;Bundesgebiet;00-04;162;4.06
2022-12-14;Bundesgebiet;00+;11875;14.08
2022-12-14;Bundesgebiet;15-34;570;2.99
2022-12-14;Bundesgebiet;60-79;4170;22.24
2022-12-14;Bundesgebiet;80+;5341;87.37
2022-12-14;Nordrhein-Westfalen;00+;3148;17.35
2022-12-14;Nordrhein-Westfalen;05-14;14;0.81
2022-12-14;Nordrhein-Westfalen;60-79;1078;27.26
2022-12-14;Nordrhein-Westfalen;80+;1446;113.12
2022-12-13;Nordrhein-Westfalen;00+;3002;16.55
2022-12-13;Nordrhein-Westfalen;05-14;11;0.64
2022-12-12;Bundesgebiet;05-14;48;0.6
2022-12-12;Bundesgebiet;60-79;3825;20.4
2022-12-12;Nordrhein-Westfalen;15-34;128;3.03
2022-12-11;Nordrhein-Westfalen;00-04;34;3.87
2022-12-11;Nordrhein-Westfalen;15-34;125;2.96
2022-12-10;Bundesgebiet;00-04;148;3.71
2022-12-10;Bundesgebiet;15-34;518;2.72
2022-12-10;Bundesgebiet;35-59;1439;5.05
2022-12-10;Nordrhein-Westfalen;00-04;35;3.98
2022-12-10;Nordrhein-Westfalen;15-34;123;2.92
2022-12-10;Nordrhein-Westfalen;60-79;966;24.42
2022-12-09;Bundesgebiet;60-79;3638;19.4
2022-12-09;Nordrhein-Westfalen;00-04;32;3.64
2022-12-09;Nordrhein-Westfalen;60-79;937;23.69
2022-12-08;Nordrhein-Westfalen;00+;2534;13.97
2022-12-08;Nordrhein-Westfalen;15-34;113;2.68
2022-12-07;Bundesgebiet;05-14;49;0.62
2022-12-07;Bundesgebiet;35-59;1420;4.98
2022-12-07;Bundesgebiet;60-79;3453;18.42
2022-12-07;Bundesgebiet;80+;4323;70.72
2022-12-07;Nordrhein-Westfalen;00+;2510;13.84
2022-12-07;Nordrhein-Westfalen;15-34;125;2.96
2022-12-07;Nordrhein-Westfalen;35-59;373;6.13
2022-12-06;Bundesgebiet;00+;9617;11.4
2022-12-06;Bundesgebiet;35-59;1383;4.85
2022-12-06;Bundesgebiet;80+;4201;68.72
2022-12-06;Nordrhein-Westfalen;05-14;15;0.87
2022-12-06;Nordrhein-Westfalen;15-34;129;3.06
2022-12-06;Nordrhein-Westfalen;60-79;841;21.26
2022-12-06;Nordrhein-Westfalen;80+;1079;84.41
2022-12-05;Bundesgebiet;00+;9360;11.1
2022-12-05;Bundesgebiet;05-14;52;0.65
2022-12-05;Nordrhein-Westfalen;35-59;368;6.05
2022-12-05;Nordrhein-Westfalen;60-79;788;19.92
2022-12-04;Bundesgebiet;05-14;55;0.69
2022-12-04;Bundesgebiet;15-34;533;2.8
2022-12-04;Nordrhein-Westfalen;00+;2355;12.98
2022-12-04;Nordrhein-Westfalen;60-79;772;19.52
2022-12-04;Nordrhein-Westfalen;80+;1036;81.04
2022-12-03;Bundesgebiet;05-14;56;0.71
2022-12-03;Bundesgebiet;15-34;532;2.79
2022-12-03;Bundesgebiet;35-59;1343;4.71
2022-12-03;Bundesgebiet;80+;4017;65.71
2022-12-03;Nordrhein-Westfalen;05-14;14;0.81
2022-12-03;Nordrhein-Westfalen;35-59;362;5.95
2022-12-02;Bundesgebiet;05-14;58;0.73
2022-12-02;Bundesgebiet;15-34;515;2.7
2022-12-02;Bundesgebiet;35-59;1313;4.61
2022-12-02;Bundesgebiet;80+;3985;65.19
2022-12-02;Nordrhein-Westfalen;00+;2339;12.89
2022-12-02;Nordrhein-Westfalen;05-14;15;0.87
2022-12-02;Nordrhein-Westfalen;60-79;743;18.79
2022-12-01;Bundesgebiet;00-04;130;3.26
2022-12-01;Bundesgebiet;05-14;59;0.74
2022-12-01;Bundesgebiet;15-34;487;2.56
2022-12-01;Bundesgebiet;35-59;1231;4.32
2022-12-01;Bundesgebiet;60-79;3047;16.25
2022-12-01;Bundesgebiet;80+;3909;63.95
2022-12-01;Nordrhein-Westfalen;00+;2295;12.65
2022-12-01;Nordrhein-Westfalen;05-14;17;0.98
2022-12-01;Nordrhein-Westfalen;35-59;353;5.81
2022-12-01;Nordrhein-Westfalen;60-79;739;18.69
2022-11-30;Bundesgebiet;05-14;55;0.69
2022-11-30;Bundesgebiet;35-59;1165;4.09
2022-11-30;Bundesgebiet;60-79;2949;15.73
2022-11-30;Bundesgebiet;80+;3745;61.26
2022-11-30;Nordrhein-Westfalen;00-04;29;3.3
2022-11-30;Nordrhein-Westfalen;00+;2218;12.23
2022-11-30;Nordrhein-Westfalen;05-14;12;0.69
2022-11-29;Bundesgebiet;00-04;125;3.13
2022-11-29;Bundesgebiet;35-59;1110;3.89
2022-11-29;Bundesgebiet;60-79;2871;15.31
2022-11-29;Nordrhein-Westfalen;00-04;26;2.96
2022-11-28;Bundesgebiet;05-14;56;0.71
2022-11-28;Bundesgebiet;60-79;2764;14.74
2022-11-28;Nordrhein-Westfalen;15-34;120;2.84
2022-11-28;Nordrhein-Westfalen;35-59;302;4.97
2022-11-28;Nordrhein-Westfalen;60-79;690;17.45
2022-11-27;Bundesgebiet;00-04;111;2.78
2022-11-27;Bundesgebiet;80+;3337;54.59
2022-11-27;Nordrhein-Westfalen;00-04;22;2.5
2022-11-27;Nordrhein-Westfalen;60-79;665;16.81
2022-11-26;Bundesgebiet;05-14;57;0.72
2022-11-26;Bundesgebiet;35-59;1034;3.63
2022-11-26;Bundesgebiet;60-79;2724;14.53
2022-11-26;Bundesgebiet;80+;3308;54.11
2022-11-26;Nordrhein-Westfalen;35-59;297;4.88
2022-11-25;Bundesgebiet;00-04;122;3.06
2022-11-25;Bundesgebiet;00+;7470;8.86
2022-11-25;Bundesgebiet;05-14;61;0.77
2022-11-25;Bundesgebiet;15-34;410;2.15
2022-11-25;Bundesgebiet;80+;3206;52.45
2022-11-25;Nordrhein-Westfalen;00-04;30;3.41
2022-11-25;Nordrhein-Westfalen;15-34;111;2.63
2022-11-24;Nordrhein-Westfalen;05-14;18;1.04
2022-11-24;Nordrhein-Westfalen;60-79;650;16.43
2022-11-23;Bundesgebiet;35-59;1011;3.55
2022-11-23;Bundesgebiet;60-79;2577;13.74
2022-11-23;Nordrhein-Westfalen;00+;1962;10.82
2022-11-22;Bundesgebiet;35-59;991;3.48
2022-11-22;Nordrhein-Westfalen;00-04;38;4.32
2022-11-21;Bundesgebiet;00+;6985;8.28
2022-11-21;Bundesgebiet;05-14;48;0.6
2022-11-21;Bundesgebiet;80+;3006;49.17
2022-11-21;Nordrhein-Westfalen;00+;1789;9.86
2022-11-21;Nordrhein-Westfalen;15-34;113;2.68
2022-11-21;Nordrhein-Westfalen;60-79;615;15.55
2022-11-20;Bundesgebiet;00-04;143;3.59
2022-11-20;Bundesgebiet;00+;7029;8.33
2022-11-20;Bundesgebiet;35-59;979;3.43
2022-11-20;Bundesgebiet;60-79;2410;12.85
2022-11-20;Nordrhein-Westfalen;35-59;233;3.83
2022-11-20;Nordrhein-Westfalen;60-79;625;15.8
2022-11-20;Nordrhein-Westfalen;80+;788;61.64
2022-11-19;Bundesgebiet;00-04;143;3.59
2022-11-19;Bundesgebiet;15-34;396;2.08
2022-11-19;Bundesgebiet;60-79;2405;12.83
2022-11-19;Nordrhein-Westfalen;00+;1827;10.07
2022-11-19;Nordrhein-Westfalen;05-14;18;1.04
2022-11-18;Bundesgebiet;05-14;40;0.5
2022-11-18;Nordrhein-Westfalen;00-04;32;3.64
2022-11-17;Bundesgebiet;15-34;371;1.95
2022-11-17;Bundesgebiet;60-79;2450;13.07
2022-11-17;Nordrhein-Westfalen;00+;1826;10.07
2022-11-17;Nordrhein-Westfalen;15-34;87;2.06
2022-11-16;Bundesgebiet;15-34;371;1.95
2022-11-16;Bundesgebiet;35-59;955;3.35
2022-11-16;Bundesgebiet;60-79;2515;13.41
2022-11-16;Nordrhein-Westfalen;00-04;29;3.3
2022-11-16;Nordrhein-Westfalen;00+;1833;10.11
2022-11-16;Nordrhein-Westfalen;05-14;10;0.58
2022-11-16;Nordrhein-Westfalen;80+;826;64.62
2022-11-15;Bundesgebiet;00+;7236;8.58
2022-11-15;Bundesgebiet;05-14;36;0.45
2022-11-15;Nordrhein-Westfalen;00-04;32;3.64
2022-11-15;Nordrhein-Westfalen;00+;1952;10.76
