Geo Point;Geo Shape;Kommune;Gewerbegebiet;Größe;Verfügbarkeit;Art;Exposelink;blockiert;Frei parzellierbar;Geplant;24h-Betrieb;code
51.06745766762505, 6.634371486174704;"{""coordinates"": [[[6.635259272535512, 51.06803458161085], [6.635376302355781, 51.06794894029602], [6.633487707658645, 51.06688247554713], [6.633366877964724, 51.066966984166584], [6.635259272535512, 51.06803458161085]]], ""type"": ""Polygon""}";Grevenbroich;Allrath/Kölner Landstraße;2243;Nicht verfügbare Fläche;Grünfläche;;;;;;051620080029
51.067543699710804, 6.634255632993753;"{""coordinates"": [[[6.635200908991502, 51.0680772915672], [6.635259272535512, 51.06803458161085], [6.633366877964724, 51.066966984166584], [6.633248259024718, 51.06704994530775], [6.635142545447493, 51.06812000091963], [6.635200908991502, 51.0680772915672]]], ""type"": ""Polygon""}";Grevenbroich;Allrath/Kölner Landstraße;2224;Nicht verfügbare Fläche;Grünfläche;;;;;;051620080029
51.06823323815146, 6.633904674979018;"{""coordinates"": [[[6.633836422872157, 51.06820610367621], [6.633943711361485, 51.068267394425675], [6.633972668554669, 51.06825961905824], [6.633864068525025, 51.068198791185836], [6.633836422872157, 51.06820610367621]]], ""type"": ""Polygon""}";Grevenbroich;Allrath/Kölner Landstraße;19;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080029
51.031811857201724, 6.607775333070322;"{""coordinates"": [[[6.607460828813318, 51.03147336890764], [6.607302955292026, 51.03131242609421], [6.607290534286593, 51.031315663802566], [6.608128100999624, 51.03215525027123], [6.608075246823252, 51.032169814325215], [6.60834063790427, 51.03243580297327], [6.608103221259515, 51.03218387558169], [6.608139028106739, 51.03215547398599], [6.607460828813318, 51.03147336890764]]], ""type"": ""Polygon""}";Grevenbroich;Buchholzer Straße;90;Nicht verfügbare Fläche;Grünfläche;;;;;;051620080033
51.033591181569385, 6.607550108121905;"{""coordinates"": [[[6.607302955292026, 51.03131242609421], [6.607289078117518, 51.031298278701435], [6.605984077537971, 51.03188157231584], [6.606755989081832, 51.03239502271476], [6.605497962306807, 51.03312045186447], [6.605319054733137, 51.03337153525645], [6.605731758740968, 51.033663970422865], [6.60557176609392, 51.034330614447626], [6.60628425138679, 51.03460797129822], [6.607920930630485, 51.03539172533109], [6.610184033867885, 51.034634863091874], [6.609111741862689, 51.03353241047277], [6.608589776665168, 51.03287635074578], [6.60834063790427, 51.03243580297327], [6.608075246823252, 51.032169814325215], [6.608128100999624, 51.03215525027123], [6.607290534286593, 51.031315663802566], [6.607302955292026, 51.03131242609421]]], ""type"": ""Polygon""}";Grevenbroich;Buchholzer Straße;81016;Nicht verfügbare Fläche;Gewerbefläche;;0;0;;0;051620080033
51.03176536805462, 6.604316152440044;"{""coordinates"": [[[6.604645894090145, 51.032090836761284], [6.604796799379779, 51.03203347923453], [6.604034873508616, 51.031486589173234], [6.603761559286792, 51.031423544725946], [6.604645894090145, 51.032090836761284]]], ""type"": ""Polygon""}";Grevenbroich;Gürather Straße;993;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080034
51.03318261906561, 6.602063202522206;"{""coordinates"": [[[6.602198535608188, 51.03342567390358], [6.60226416203127, 51.033389342705824], [6.602282912566195, 51.03346369983374], [6.602507435691677, 51.03333849525089], [6.601947789761248, 51.03291740908973], [6.601743299964916, 51.032982540601814], [6.601627114561014, 51.03308426278851], [6.602198535608188, 51.03342567390358]]], ""type"": ""Polygon""}";Grevenbroich;Gürather Straße;1588;Nicht verfügbare Fläche;Wohnbereich;;;;;;051620080034
51.03305275175773, 6.602429525322726;"{""coordinates"": [[[6.601939297986867, 51.032911029934176], [6.602507435691677, 51.03333849525089], [6.60292647102563, 51.03311140855261], [6.602285701835152, 51.032796746185504], [6.601939297986867, 51.032911029934176]]], ""type"": ""Polygon""}";Grevenbroich;Gürather Straße;1908;Nicht verfügbare Fläche;Wohnbereich;;;;;;051620080034
51.03213303303274, 6.602700608431163;"{""coordinates"": [[[6.603484351766526, 51.03281711862972], [6.60349174579963, 51.032744434349176], [6.603683145345641, 51.0325887481132], [6.604502518479223, 51.03214533224953], [6.604645894090145, 51.032090836761284], [6.603761559286792, 51.031423544725946], [6.603087944994581, 51.03126816138377], [6.602328939546408, 51.0310184241709], [6.601777490742944, 51.03167136177728], [6.601430079883225, 51.03200341549882], [6.60090476846127, 51.03263882639073], [6.601396759572707, 51.03296109938956], [6.601627114561014, 51.03308426278851], [6.601743299964916, 51.032982540601814], [6.602285701835152, 51.032796746185504], [6.60292647102563, 51.03311140855261], [6.603484351766526, 51.03281711862972]]], ""type"": ""Polygon""}";Grevenbroich;Gürather Straße;34202;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080034
51.04400013003877, 6.56289100959539;"{""coordinates"": [[[6.559827968995024, 51.044335454743056], [6.559982132474192, 51.04448677864256], [6.560261214778455, 51.044477410537795], [6.560853996864771, 51.04455456476208], [6.561982703069808, 51.04466433513033], [6.563296334662605, 51.04475676020287], [6.563690200100611, 51.04473251351414], [6.563871297766944, 51.044769921895025], [6.564004177462087, 51.04482493845066], [6.564132063422564, 51.04492355319832], [6.564731709535965, 51.045538180623225], [6.564814659070985, 51.04555375819187], [6.564919557143343, 51.0455389492794], [6.565064455398671, 51.04547479722596], [6.565425544905222, 51.04542953905067], [6.565484572304226, 51.04536287754945], [6.56551028927418, 51.0451305131908], [6.565404991451521, 51.044632573376234], [6.564829985228048, 51.042637785181775], [6.563877656042525, 51.04292419922522], [6.563874074459487, 51.04313212266633], [6.563776946814338, 51.0434002256926], [6.563777616059225, 51.043452484834305], [6.563873258789209, 51.04359826587931], [6.563924836459563, 51.04374079042248], [6.563931535196636, 51.043841823665936], [6.563882443164673, 51.04388729067158], [6.563788838712068, 51.04391564215266], [6.562904084395479, 51.043712753990185], [6.562003714664304, 51.04274105012486], [6.561736332018302, 51.04266227188076], [6.561370197573115, 51.04282404394849], [6.560903932414785, 51.04308236862953], [6.560386399504874, 51.04330877784197], [6.560084722774585, 51.043542211463546], [6.559910765816446, 51.0438391007951], [6.559850249010701, 51.044079459469714], [6.559827968995024, 51.044335454743056]]], ""type"": ""Polygon""}";Grevenbroich;Westlich Frimmersdorf;68275;Nicht verfügbare Fläche;Andere Fläche;;;;;;051620080035
51.04197813855012, 6.563906505676291;"{""coordinates"": [[[6.563525650300128, 51.040923472843474], [6.563110220803725, 51.04102529847203], [6.563163273507775, 51.041063454289436], [6.563330471541716, 51.04124660776271], [6.563383478431686, 51.04142234381818], [6.563270634760641, 51.04153491126396], [6.563158116279728, 51.04167940885895], [6.563046587742258, 51.04196186833307], [6.563118655984243, 51.04199637353654], [6.563465961741074, 51.04194202123519], [6.563571538939786, 51.04197686590817], [6.563638462530138, 51.04202870812697], [6.563807390719316, 51.04228212845529], [6.563880212647824, 51.04259594923633], [6.563835558293365, 51.04277657252978], [6.563877656042525, 51.04292419922522], [6.564829985228048, 51.042637785181775], [6.564755107954171, 51.04246617967797], [6.564624565675398, 51.04226580705739], [6.563525650300128, 51.040923472843474]]], ""type"": ""Polygon""}";Grevenbroich;Westlich Frimmersdorf;11461;Nicht verfügbare Fläche;Grünfläche;;;;;;051620080035
51.04685847690535, 6.565258241256821;"{""coordinates"": [[[6.565086780330112, 51.04774375677767], [6.565204077848336, 51.047671108334995], [6.565484043196524, 51.047539811229704], [6.565982488703278, 51.04734580327371], [6.56602818600178, 51.046979197069504], [6.565791820385908, 51.046676310918635], [6.565744223150578, 51.046152596577365], [6.565725841823235, 51.045684254998214], [6.565455378854123, 51.04582078600093], [6.565016720721104, 51.04613356736151], [6.564861421771417, 51.04633985044428], [6.564482599521156, 51.047021121676295], [6.564491326654142, 51.04728306955547], [6.564581739392543, 51.04747711956567], [6.564830645489781, 51.047744973805706], [6.56491977094238, 51.04776850338456], [6.565013722144685, 51.04777181053639], [6.565086780330112, 51.04774375677767]]], ""type"": ""Polygon""}";Grevenbroich;Westlich Frimmersdorf;15397;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080035
51.046236736936606, 6.56578193283984;"{""coordinates"": [[[[6.56602818600178, 51.046979197069504], [6.566031434309847, 51.046953140372146], [6.565866506318629, 51.04677199458411], [6.565990815187646, 51.04693125268986], [6.56602818600178, 51.046979197069504]]], [[[6.565810018456933, 51.046699626431966], [6.565731874908683, 51.0457172918487], [6.565715072819609, 51.04555535028664], [6.565654514691361, 51.045258108803154], [6.565725841823235, 51.045684254998214], [6.565744223150578, 51.046152596577365], [6.565791820385908, 51.046676310918635], [6.565810018456933, 51.046699626431966]]]], ""type"": ""MultiPolygon""}";Grevenbroich;Westlich Frimmersdorf;160;Nicht verfügbare Fläche;Straßenfläche;;;;;;051620080035
51.083858453411764, 6.621579922612933;"{""coordinates"": [[[6.621198879437715, 51.08389813796989], [6.621504232972462, 51.08406954029658], [6.621923931263095, 51.083763356847804], [6.621807868928386, 51.08365021148205], [6.621198879437715, 51.08389813796989]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;1025;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080036
51.086831327961775, 6.6209866782989035;"{""coordinates"": [[[6.621177910962353, 51.086706684635054], [6.621106628746243, 51.08667537943372], [6.620795489162751, 51.08695589481461], [6.620866767785599, 51.0869872901089], [6.621177910962353, 51.086706684635054]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;231;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080036
51.086648666407996, 6.620572557107319;"{""coordinates"": [[[6.620345258033926, 51.08675744134783], [6.620488731561214, 51.08682070052829], [6.620799984332432, 51.08654027856109], [6.620655701423073, 51.08647673347456], [6.620345258033926, 51.08675744134783]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;468;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080036
51.08913993903558, 6.6181268675543725;"{""coordinates"": [[[6.618112346274909, 51.08840148497806], [6.617162697662195, 51.089256701693365], [6.617965930765067, 51.08997635586133], [6.619187993487691, 51.088875172391226], [6.618112346274909, 51.08840148497806]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;12211;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080036
