Hauptprobenummer;Bezeichnung;Probe-Entnahmeart;Probenahme-Beginn Datum;Probenahme-Beginn Zeit;Probenahme-Ende Datum;Probenahme-Ende Zeit;Umweltbereich;Messprogrammgruppe;Entnahmestelle;Herkunftsstaat;Methode;Pruefmerkmal;Ergebnis;Einheit
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Cer-143 Ce-143;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Neodym-147 Nd-147;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Promethium-151 Pm-151;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Samarium-153 Sm-153;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Europium-154 Eu-154;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Europium-155 Eu-155;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Ytterbium-169 Yb-169;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Lutetium-177 Lu-177;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Lutetium-177m Lu-177m;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Rhenium-186 Re-186;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Iridium-192 Ir-192;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Neptunium-239 Np-239;n.n.;Bq/kg(TM)
