FID,gid,id,fdkey,thema,bezeich,strasse,hausnr,anschrift,plz,ort,xref,yref,homepage,zeichenv00,geom,bemerk1,bemerk2,gslayer,url,bild
apotheke.fid--2969c17a_1967c1a0e19_-5c62,345,345,938,Apotheke,Vitalhus. Die Apotheke im famila Markt,Stormarnstraße,33-41,Stormarnstraße 33-41,22844,Norderstedt,567203.1,5951657.7,https://www.vitalhus.de/,fc_230,POINT (567203.1 5951657.7),,,no_apotheke_wfs,"https://geoservice.norderstedt.de/geoportal/?Map/layerIds= basemap_grau,no_stadtgebiet,no_apotheke_wfs&visibility=true,true,true&transparency=0,0,0&Map/center=[567203.1,5951657.7]&Map/zoomLevel=8",
apotheke.fid--2969c17a_1967c1a0e19_-5c61,346,346,939,Apotheke,Bach-Apotheke,Kohfurth,15,Kohfurth 15,22850,Norderstedt,564947.9,5949441.6,https://www.apotheken.de/22850/norderstedt/bach-apotheke/,fc_230,POINT (564947.9 5949441.6),,,no_apotheke_wfs,"https://geoservice.norderstedt.de/geoportal/?Map/layerIds= basemap_grau,no_stadtgebiet,no_apotheke_wfs&visibility=true,true,true&transparency=0,0,0&Map/center=[564947.9,5949441.6]&Map/zoomLevel=8",
apotheke.fid--2969c17a_1967c1a0e19_-5c60,347,347,940,Apotheke,Aqua Vital-Apotheke,Quickborner Str.,50,Quickborner Str. 50,22844,Norderstedt,565243.9,5954394.6,https://www.norderstedt.de/Aktuelles-und-Service/Dienstleistungen-und-Service/Notrufe/Apotheken/,fc_230,POINT (565243.9 5954394.6),,,no_apotheke_wfs,"https://geoservice.norderstedt.de/geoportal/?Map/layerIds= basemap_grau,no_stadtgebiet,no_apotheke_wfs&visibility=true,true,true&transparency=0,0,0&Map/center=[565243.9,5954394.6]&Map/zoomLevel=8",
apotheke.fid--2969c17a_1967c1a0e19_-5c5f,327,327,920,Apotheke,Spitzweg-Apotheke,Segeberger Chaussee,124,Segeberger Chaussee 124,22850,Norderstedt,566470.3,5948726.8,https://www.spitzweg-apotheke-norderstedt.de/,fc_230,POINT (566470.3 5948726.8),,,no_apotheke_wfs,"https://geoservice.norderstedt.de/geoportal/?Map/layerIds= basemap_grau,no_stadtgebiet,no_apotheke_wfs&visibility=true,true,true&transparency=0,0,0&Map/center=[566470.3,5948726.8]&Map/zoomLevel=8",
apotheke.fid--2969c17a_1967c1a0e19_-5c5e,328,328,921,Apotheke,Norderstedt-Apotheke,Ulzburger Straße,10b,Ulzburger Straße 10b,22850,Norderstedt,565960.5,5948818.8,http://www.norderstedt-apotheke.de/,fc_230,POINT (565960.5 5948818.8),,,no_apotheke_wfs,"https://geoservice.norderstedt.de/geoportal/?Map/layerIds= basemap_grau,no_stadtgebiet,no_apotheke_wfs&visibility=true,true,true&transparency=0,0,0&Map/center=[565960.5,5948818.8]&Map/zoomLevel=8",
apotheke.fid--2969c17a_1967c1a0e19_-5c5d,329,329,922,Apotheke,Rathaus-Apotheke,Rathausallee,11a,Rathausallee 11a,22846,Norderstedt,565711.7,5951318.8,http://www.rathaus-apotheke-norderstedt.de/,fc_230,POINT (565711.7 5951318.8),,,no_apotheke_wfs,"https://geoservice.norderstedt.de/geoportal/?Map/layerIds= basemap_grau,no_stadtgebiet,no_apotheke_wfs&visibility=true,true,true&transparency=0,0,0&Map/center=[565711.7,5951318.8]&Map/zoomLevel=8",
apotheke.fid--2969c17a_1967c1a0e19_-5c5c,330,330,923,Apotheke,Falkenberg-Apotheke,Ulzburger Straße,310,Ulzburger Straße 310,22846,Norderstedt,566030.5,5952079.5,https://www.norderstedt.de/Aktuelles-und-Service/Dienstleistungen-und-Service/Notrufe/Apotheken/,fc_230,POINT (566030.5 5952079.5),,,no_apotheke_wfs,"https://geoservice.norderstedt.de/geoportal/?Map/layerIds= basemap_grau,no_stadtgebiet,no_apotheke_wfs&visibility=true,true,true&transparency=0,0,0&Map/center=[566030.5,5952079.5]&Map/zoomLevel=8",
apotheke.fid--2969c17a_1967c1a0e19_-5c5b,331,331,924,Apotheke,Apotheke im Herold-Center,Berliner Allee,38,Berliner Allee 38,22850,Norderstedt,565137.8,5948860.8,http://22850.apotheken-website-vorschau.de/,fc_230,POINT (565137.8 5948860.8),,,no_apotheke_wfs,"https://geoservice.norderstedt.de/geoportal/?Map/layerIds= basemap_grau,no_stadtgebiet,no_apotheke_wfs&visibility=true,true,true&transparency=0,0,0&Map/center=[565137.8,5948860.8]&Map/zoomLevel=8",
apotheke.fid--2969c17a_1967c1a0e19_-5c5a,332,332,925,Apotheke,Tarpenbek-Apotheke,Am Tarpenufer,6,Am Tarpenufer 6,22848,Norderstedt,565908.5,5948546.9,https://www.apotheken.de/22848/norderstedt/tarpenbek-apotheke/,fc_230,POINT (565908.5 5948546.9),,,no_apotheke_wfs,"https://geoservice.norderstedt.de/geoportal/?Map/layerIds= basemap_grau,no_stadtgebiet,no_apotheke_wfs&visibility=true,true,true&transparency=0,0,0&Map/center=[565908.5,5948546.9]&Map/zoomLevel=8",
apotheke.fid--2969c17a_1967c1a0e19_-5c59,333,333,926,Apotheke,Apotheke am Markt,Marktplatz,1,Marktplatz 1,22844,Norderstedt,566601.3,5951092.9,http://www.apotheke-am-markt-norderstedt.de/,fc_230,POINT (566601.3 5951092.9),,,no_apotheke_wfs,"https://geoservice.norderstedt.de/geoportal/?Map/layerIds= basemap_grau,no_stadtgebiet,no_apotheke_wfs&visibility=true,true,true&transparency=0,0,0&Map/center=[566601.3,5951092.9]&Map/zoomLevel=8",
