st_transform,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel,id,reinigungsklasse,fahrbahnwinterdienst,laenge,kehrmeter,kehrmeter_pro_jahr
"MULTILINESTRING ((12.063852 54.148623,12.063925 54.149095,12.063951 54.149301,12.063989 54.149466,12.064026 54.149599,12.064074 54.149651,12.064163 54.149681,12.064259 54.149681,12.064621 54.149664,12.065152 54.149637,12.065199 54.149899,12.065281 54.15045,12.065311 54.150679,12.065295 54.150717,12.065239 54.150745,12.065178 54.150751,12.064567 54.15079,12.064493 54.150825,12.064437 54.150888,12.064439 54.150967,12.064522 54.151455,12.064541 54.151554,12.064563 54.151624,12.064584 54.151663,12.064629 54.151685,12.064697 54.151701,12.064789 54.1517,12.064926 54.151688,12.064982 54.151661,12.065008 54.151618,12.065 54.151589,12.064971 54.151565,12.064929 54.151547,12.064871 54.151545,12.064682 54.151555,12.064541 54.151554))",a297fda1-9083-4b96-9ec4-f56eef6133d1,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Wolgaster Str.,"01890",0000001890-001,6,C,527.14,1219.06,63391.33
"MULTILINESTRING ((12.063619 54.153735,12.05983 54.153955,12.059122 54.153974,12.057545 54.15398,12.055849 54.153974,12.054209 54.153973,12.051599 54.154018,12.049582 54.15405,12.049303 54.154068,12.048787 54.154087,12.047253 54.154357,12.046577 54.154508,12.045901 54.154672,12.044913 54.15481,12.043937 54.154879,12.042842 54.15491,12.041737 54.154892,12.040578 54.154829,12.039054 54.154621,12.03811 54.15454,12.037637 54.15454,12.037251 54.154559,12.036521 54.154596,12.035577 54.154772,12.034986 54.154937,12.034396 54.155082,12.033369 54.15539,12.032333 54.15572,12.031496 54.156018,12.030466 54.156395))",f4787c8f-4a2d-40ef-9486-9813d72ceea0,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Mecklenburger Allee,"03520",0000003520-001,6,A,2234.35,5167.16,268692.21
"MULTILINESTRING ((12.193334 54.085702,12.193484 54.085803,12.193626 54.085971,12.193667 54.086344,12.193736 54.09173,12.19376 54.091995,12.193841 54.092039,12.19398 54.092036,12.194039 54.091996,12.194046 54.091916,12.193961 54.091858,12.193746 54.091732),(12.192112 54.08815,12.19369 54.08814),(12.192128 54.08697,12.193675 54.086957))",f6dfb289-eb39-4106-aa8b-3fb394147734,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stellmakerstrat,"11600",0000011600-001,6,B,970.50,2244.38,116707.67
"MULTILINESTRING ((12.161785 54.09088,12.162527 54.08927,12.163126 54.088016,12.163483 54.087309,12.1637 54.086878,12.163878 54.08652,12.164456 54.085322,12.164946 54.084292,12.165509 54.083197,12.165813 54.08262,12.165988 54.082237,12.166477 54.081315))",58dc63e5-3df8-4cf8-8fb6-d3c40865a0f9,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Verbindungsweg,"09240",0000009240-001,6,A,1108.16,2562.73,133262
"MULTILINESTRING ((12.144634 54.089765,12.144749 54.090006,12.144868 54.090307,12.144957 54.090497))",e5c2d383-45e0-4546-91a7-90fc71841749,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Seidenstr.,"08550",0000008550-001,7,C,84.19,194.70,5062.14
"MULTILINESTRING ((12.174678 54.104239,12.175156 54.103941,12.175363 54.103816,12.175489 54.10377,12.175584 54.103777,12.175761 54.103868,12.175959 54.10398,12.176061 54.104015,12.176211 54.104029,12.176478 54.104027,12.176583 54.104011,12.176705 54.103964,12.176814 54.103902,12.177508 54.103502,12.177956 54.103242,12.178054 54.103143,12.178155 54.102956,12.178201 54.102896,12.178311 54.10282,12.178772 54.102579),(12.177248 54.10254,12.177263 54.102362,12.177153 54.102293,12.177006 54.102379,12.177248 54.10254,12.177713 54.102819,12.177837 54.102883,12.177912 54.102905,12.178155 54.102956),(12.175489 54.10377,12.175657 54.103728,12.175743 54.103725,12.175829 54.103716,12.176456 54.103354,12.176542 54.103323,12.176612 54.103313,12.176725 54.103345,12.177235 54.10366))",ea1cf535-bc38-445f-ad73-67c039846a54,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Hartmut-Colden-Str.,"03370",0000003370-001,6,C,667.34,1543.29,80251.11
"MULTILINESTRING ((12.144764 54.087499,12.144585 54.08786,12.144572 54.087926,12.144578 54.087992,12.144618 54.088048,12.14496 54.088297,12.145214 54.088492,12.145299 54.088638,12.145328 54.088801,12.145432 54.089255,12.145493 54.089446,12.145556 54.089666,12.145615 54.089846,12.145784 54.090343,12.145869 54.09047,12.146282 54.091029))",b7948a1b-94c7-49d7-976d-f7a4b59f74d9,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Wollenweberstr.,"09880",0000009880-001,7,B,419.05,969.10,25196.47
"MULTILINESTRING ((12.102345 54.079264,12.102398 54.079358,12.102479 54.079437,12.102468 54.079251),(12.102479 54.079437,12.102645 54.079717,12.102715 54.079896,12.102763 54.080069,12.102924 54.08023,12.103058 54.08033,12.104142 54.080847,12.104598 54.081098,12.105006 54.081303,12.105484 54.081583,12.105897 54.0818,12.106401 54.082077,12.106975 54.082401,12.107539 54.08271,12.108472 54.083219,12.108816 54.083392),(12.102345 54.079264,12.102246 54.079238,12.10219 54.079197,12.102171 54.079158,12.102193 54.079092,12.102238 54.07907,12.102324 54.079045,12.102405 54.079048,12.102477 54.079073,12.102512 54.079111,12.102536 54.079153,12.102507 54.079212,12.102472 54.079234,12.102426 54.079248,12.102378 54.079262))",4f435103-ea50-4a16-aea3-15dd2299d0ce,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Parkstr.,"07490",0000007490-001,6,B,730.99,1690.49,87905.35
"MULTILINESTRING ((12.106213 54.081986,12.107029 54.081482,12.107108 54.081433,12.107404 54.081307,12.107717 54.081207,12.107941 54.081155,12.108297 54.081101,12.108622 54.081061,12.108967 54.081037,12.109984 54.081008,12.11118 54.080979,12.111506 54.080947,12.112057 54.08083,12.112358 54.080774,12.112842 54.08067))",8288f33a-272d-49b2-ba04-5b93dc2bbae3,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Liskowstr.,"06670",0000006670-001,6,C,475.85,1100.45,57223.44
"MULTILINESTRING ((12.1576460265061 54.1122512950807,12.1580874270042 54.1127630802129,12.1586667161708 54.1134226503496,12.1592078229237 54.1140095866691))",fadae961-af5c-4926-97ba-d15f510b5262,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Bertrand-Russell-Allee,"01000",0000001000-001,6,C,220.78,510.58,26549.94
"MULTILINESTRING ((12.115802 54.075543,12.115477 54.075307,12.115238 54.075149,12.114921 54.074995,12.114653 54.074879,12.113953 54.074677,12.113557 54.074563,12.113222 54.074462,12.113058 54.074409,12.112901 54.074334,12.11281 54.074277,12.112722 54.074196,12.112659 54.074109,12.11262 54.074023,12.112587 54.073855,12.112522 54.073269))",13467882-d26e-4d11-8bea-833f0a2456d5,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Joseph-Herzfeld-Str.,"04210",0000004210-001,6,B,360.10,832.77,43303.9
