deviceId;name;Standort;refDeviceGroup;location;deviceType;locationId;customProperties;isEnabled;letzte Statusänderung;Belegungsstatus;geo_point_2d
be539716-aafd-4a02-8237-a1728d975a23;DE*MVV*E00519*L1;PLID: 3805, PSID: 152092, Plankstadt Neubaugebiet Plankstadt Bertha-Benz-Str.;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.58614437340456, 49.40159242750051], ""type"": ""Point""}";extern;;{};1;;;49.40159242750051, 8.58614437340456
3ed0939a-c62b-4406-b80c-34cde4c7256f;DE*MVV*E00296*01;PLID: 3804, PSID: 152094, Plankstadt Plankstadt Wilhelmstraße;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.594065220245536, 49.392659995263735], ""type"": ""Point""}";extern;;{};1;;;49.392659995263735, 8.594065220245536
FCD6BD00001916F9;DE*MVV*E00043*R1;AWO;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.477744, 49.548487], ""type"": ""Point""}";LoRa;47d4b76e-1b58-41a3-8739-1e275f5a084e;{};1;2022-09-02T10:16:46+00:00;frei;49.548487, 8.477744
FCD6BD00001916EC;DE*MVV*E00049*R1;ADAC;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.493541, 49.478074], ""type"": ""Point""}";LoRa;cab4bb24-69aa-418c-914c-d44c7fc75eb9;{};1;2022-07-07T12:45:43+00:00;belegt;49.478074, 8.493541
FCD6BD00001916E1;DE*MVV*E00058*L1;BfE;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.70856, 49.247084], ""type"": ""Point""}";LoRa;a08a9ce1-b10c-4c63-987e-bf5630f21f8d;{};1;;[];49.247084, 8.70856
FCD6BD00001916F7;DE*MVV*E00066*R1;Kaefertaler Strasse;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.476773, 49.495861], ""type"": ""Point""}";LoRa;bf34a7e3-adbe-4b65-adde-82be72afaaa8;{};1;2024-04-13T21:14:18+00:00;frei;49.495861, 8.476773
FCD6BD00001916FC;DE*MVV*E00026*R1;Mobilitaetstation Kaefertal;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.506498, 49.507301], ""type"": ""Point""}";LoRa;0d994536-5c8f-4a51-b2bc-bb825a0820d0;{};1;2022-04-20T09:37:58+00:00;belegt;49.507301, 8.506498
FCD6BD00001933F9;DE*MVV*E00054*L1;Sennteichplatz;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.482174, 49.456573], ""type"": ""Point""}";LoRa;8d65c6bb-7be5-4d46-8727-40baf4e97644;{};1;2022-06-18T07:10:41+00:00;frei;49.456573, 8.482174
FCD6BD00001916F5;DE*MVV*E00025*R1;Uniklinikum;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.491728, 49.489778], ""type"": ""Point""}";LoRa;58e63371-1d82-422f-8ccf-250f2343fe42;{};1;2021-11-01T21:08:33+00:00;frei;49.489778, 8.491728
FCD6BD0000191F6B;DE*MVV*E00105*R1;Werftstrasse;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.45785, 49.496022], ""type"": ""Point""}";LoRa;fa7d47e5-3279-46c4-9ce3-b1da4dffe1e8;{};1;2024-04-20T14:33:11+00:00;belegt;49.496022, 8.45785
FCD6BD0000191F4D;DE*MVV*E00102*L1;SAP Areana Sued P1;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.51656, 49.461664], ""type"": ""Point""}";LoRa;66b48575-027a-4b8a-9048-1037dbeb7e77;{};1;2024-02-24T14:15:16+00:00;belegt;49.461664, 8.51656
FCD6BD000019176C;DE*MVV*E00024*R1;Miramar Weinheim;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.644305, 49.533316], ""type"": ""Point""}";LoRa;f582158b-f7d4-4b34-a995-1510b90b0042;{};1;2023-02-01T12:10:32+00:00;frei;49.533316, 8.644305
FCD6BD0000191F55;DE*MVV*E00114*L1;Johanniskirche Lindenhof;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.466784, 49.473594], ""type"": ""Point""}";LoRa;00fe14ac-9527-4ba1-a99c-8015386969f7;{};1;2023-07-07T03:13:15+00:00;belegt;49.473594, 8.466784
FCD6BD00001916FF;DE*MVV*E00058*R1;BfE;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.70858, 49.247104], ""type"": ""Point""}";LoRa;33309fa1-21ec-4443-9897-f9edc734fc42;{};1;;;49.247104, 8.70858
FCD6BD00001933FC;DE*MVV*E00040*L1;City Airport Mannheim;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.520583, 49.476583], ""type"": ""Point""}";LoRa;f1d02f2f-755c-4720-8a4a-e5ed3e8920b3;{};1;2023-08-16T09:17:30+00:00;belegt;49.476583, 8.520583
FCD6BD00001916FD;DE*MVV*E00007*R1;DHBW Mannheim;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.53452, 49.474798], ""type"": ""Point""}";LoRa;0aa5b448-a1f5-4e66-9514-c1739874df97;{};1;2022-08-22T07:25:27+00:00;belegt;49.474798, 8.53452
FCD6BD00001933F8;DE*MVV*E00041*L1;Dreieinigkeitsgemeinde;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.454025, 49.543913], ""type"": ""Point""}";LoRa;424d258e-4fb2-477f-8f01-da6bd0a54050;{};1;2022-03-09T14:46:53+00:00;frei;49.543913, 8.454025
FCD6BD00001933F1;DE*MVV*E00201*01;Q6Q7 Tiefgarage;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.473371, 49.485897], ""type"": ""Point""}";LoRa;eba287e4-45bd-4809-a9f6-f15b6a792adb;{};1;;[];49.485897, 8.473371
FCD6BD0000191F68;DE*MVV*E00113*R1;Viktoriaturm;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.467344, 49.477719], ""type"": ""Point""}";LoRa;ba0ff797-0cdc-4b28-b9cb-d46f94416060;{};1;2022-01-14T08:37:08+00:00;belegt;49.477719, 8.467344
FCD6BD0000191F59;DE*MVV*E00117*L1;Pfingstbergkirche;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.531956, 49.443219], ""type"": ""Point""}";LoRa;9f4730f5-67c8-4e7d-b713-421f2ec09e49;{};1;2021-07-20T14:31:38+00:00;belegt;49.443219, 8.531956
FCD6BD0000191F73;DE*MVV*E00116*R1;Friedenskirche Schwetzinger Vorstadt;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.480872, 49.478032], ""type"": ""Point""}";LoRa;efc699dd-deee-4c8b-9582-d75f9d0ecafd;{};1;2022-09-27T06:45:52+00:00;belegt;49.478032, 8.480872
FCD6BD000019176D;DE*MVV*E00096*L1;Franklin Boulderhalle;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.535935, 49.518994], ""type"": ""Point""}";LoRa;88093051-d6b3-4daa-833b-2c5234986100;{};1;2023-06-10T07:41:06+00:00;belegt;49.518994, 8.535935
FCD6BD0000191F5A;DE*MVV*E00120*L1;Feudenheim Wendeschleife;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.537916, 49.483803], ""type"": ""Point""}";LoRa;afeba7fb-0c6a-4b3c-a3fc-aa46418cfe11;{};1;2023-08-23T20:06:12+00:00;frei;49.483803, 8.537916
FCD6BD0000191F7A;DE*MVV*E00089*R1;Elementary school;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.52442, 49.518143], ""type"": ""Point""}";LoRa;1c34154d-a2e0-4053-a679-e2faee502d3c;{};1;2023-06-12T03:45:51+00:00;belegt;49.518143, 8.52442
FCD6BD0000191F66;DE*MVV*E00098*R1;Bosch Brenner Kaefertal;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.519801, 49.507939], ""type"": ""Point""}";LoRa;23cda00d-ca7d-4998-b2d7-dd38156743d3;{};1;2024-01-23T15:21:23+00:00;belegt;49.507939, 8.519801
FCD6BD0000191779;DE*MVV*E00049*L1;ADAC;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.493521, 49.478054], ""type"": ""Point""}";LoRa;0d43927d-165a-4678-9d1c-51cda015c6a3;{};1;;;49.478054, 8.493521
FCD6BD00001960FF;DE*MVV*E00055*L1;Ersatz Carl-Benz-Bad DE*MVV*E00055*L1;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.505668, 49.526928], ""type"": ""Point""}";LoRa;e8d49395-39f5-4874-8806-9193f069dadb;{};1;;;49.526928, 8.505668
FCD6BD00001916F0;DE*MVV*E00041*R1;Dreieinigkeitsgemeinde;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.454045, 49.543933], ""type"": ""Point""}";LoRa;7839723c-2fb4-4cab-a67c-008960702ad9;{};1;2021-12-14T16:38:35+00:00;frei;49.543933, 8.454045
FCD6BD00001916F3;DE*MVV*E00031*R1;L13;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.46889, 49.480838], ""type"": ""Point""}";LoRa;08bcf0b4-411b-4b96-a76a-c0abc3ceb3f7;{};1;2023-06-21T13:29:33+00:00;belegt;49.480838, 8.46889
FCD6BD00001933FB;DE*MVV*E00031*L1;L13;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.46887, 49.480818], ""type"": ""Point""}";LoRa;5e06a89a-1d7b-4899-9d31-8d0d6774e51c;{};1;2023-12-27T16:04:13+00:00;frei;49.480818, 8.46887
FCD6BD0000191F50;DE*MVV*E00105*L1;Werftstrasse;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.45783, 49.496002], ""type"": ""Point""}";LoRa;61b19f1b-5508-4432-a4b4-ccb82ce4a4c8;{};1;2023-08-23T08:05:10+00:00;belegt;49.496002, 8.45783
FCD6BD000019176A;DE*MVV*E00084*R1;Turley;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.493321, 49.502969], ""type"": ""Point""}";LoRa;4530742a-8360-45c6-97ee-3dff24aa4e00;{};1;2024-01-03T17:03:46+00:00;belegt;49.502969, 8.493321
FCD6BD0000191F49;DE*MVV*E00099*L1;Rheingoldhalle;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.468785, 49.44998], ""type"": ""Point""}";LoRa;e8f31e4d-b767-4280-8f4e-6c6998b2622d;{};1;2021-09-13T18:39:36+00:00;belegt;49.44998, 8.468785
FCD6BD0000191F61;DE*MVV*E00131*L1;Rathaus Bruehl;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.535239, 49.39443], ""type"": ""Point""}";LoRa;6de9bfdf-a78f-4c02-aa41-21e0e1605731;{};1;2022-11-07T11:20:12+00:00;frei;49.39443, 8.535239
FCD6BD0000191F5D;DE*MVV*E00124*L1;Friedrichsring;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.474015, 49.49197], ""type"": ""Point""}";LoRa;bec41e65-9efd-4675-a718-67a6dc630b3a;{};1;2022-02-23T14:38:31+00:00;belegt;49.49197, 8.474015
FCD6BD0000191769;DE*MVV*E00095*R1;Franklin Boulderhalle;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.535915, 49.518974], ""type"": ""Point""}";LoRa;06ed6ae7-d32e-452d-b808-f8aa9600a9ce;{};1;2023-02-02T18:46:24+00:00;frei;49.518974, 8.535915
FCD6BD000019176E;DE*MVV*E00096*R1;Franklin Boulderhalle;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.535955, 49.519014], ""type"": ""Point""}";LoRa;a98152d3-10cd-48d1-9477-43b7431f2462;{};1;2023-09-05T18:27:05+00:00;belegt;49.519014, 8.535955
FCD6BD00001929F0;DE*MVV*E00150*L1;Feudenheim;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.530037, 49.483938], ""type"": ""Point""}";LoRa;113cd1a7-70a3-47fb-ab69-88785eedd88d;{};1;2022-06-18T22:04:49+00:00;frei;49.483938, 8.530037
FCD6BD00001916E6;DE*MVV*E00030*R1;Carl-Benz-Stadion;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.503436, 49.478177], ""type"": ""Point""}";LoRa;e1cbe995-3831-4027-971e-4a0bbcdd3020;{};1;;;49.478177, 8.503436
FCD6BD000019246E;DE*MVV*E00204*01;Q6Q7 Tiefgarage;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.473431, 49.485957], ""type"": ""Point""}";LoRa;3c851ab7-7eef-461a-931f-bcff95d4b034;{};1;;[];49.485957, 8.473431
FCD6BD0000191F7D;DE*MVV*E00131*R1;Rathaus Bruehl;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.535259, 49.39445], ""type"": ""Point""}";LoRa;5ebc2beb-6720-4146-afcd-3d97b4cf0d07;{};1;;[];49.39445, 8.535259
FCD6BD0000191F5F;DE*MVV*E00022*L1;Miramar Weinheim;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.644245, 49.533256], ""type"": ""Point""}";LoRa;7f3d457e-7d63-465f-a209-54411c08116d;{};1;2023-06-03T08:46:22+00:00;belegt;49.533256, 8.644245
FCD6BD0000191F58;DE*MVV*E00116*L1;Friedenskirche Schwetzinger Vorstadt;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.480852, 49.478012], ""type"": ""Point""}";LoRa;4222aec4-f292-46dd-8107-4698e93b69f8;{};1;2024-02-06T23:10:42+00:00;frei;49.478012, 8.480852
FCD6BD0000191F80;DE*MVV*E00095*L1;Franklin Boulderhalle;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.535895, 49.518954], ""type"": ""Point""}";LoRa;9992f00e-4264-4ebf-bf31-d3e527fe92cb;{};1;2022-12-07T15:53:48+00:00;frei;49.518954, 8.535895
FCD6BD0000191777;DE*MVV*E00022*R1;Ersatzsensor für DE*MVV*E00022*R1;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.644295, 49.533306], ""type"": ""Point""}";LoRa;4335064c-2290-42a6-8962-99d7ea60fcd6;{};1;;;49.533306, 8.644295
ce4a87d2-e4d6-4c55-a77f-76690a862ca4;DE*MVV*E00197*R1;"SCS PSID: 137929
Lange Ruthen 1
PLID: 3414";5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.614052, 49.476538], ""type"": ""Point""}";extern;1aa64fc8-ba37-4cb1-bfb1-a4c98f06e3e9;{};1;;;49.476538, 8.614052
c14078c8-afe6-464a-b3ce-0a96c53f29ce;DE*MVV*E00195*L1;"SCS PSID:  137934
Stadtaecker 1 links 2
PLID: 3416";5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.614325, 49.477473], ""type"": ""Point""}";extern;6ae919c7-ef24-41ff-92b6-6cd266bd4864;{};1;;;49.477473, 8.614325
e1736c0b-3d74-4e1b-a292-5d5723772fae;DE*MVV*E00193*R1;"SCS PSID: 137899
Weinheimerstrasse 1 rechts 2
PLID: 3415";5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.614363, 49.474839], ""type"": ""Point""}";extern;09ae6134-ee65-42bc-9eaa-7c12c574e0d2;{};1;;;49.474839, 8.614363
f7ff385a-4958-4786-9d20-40188e02cfb6;DE*MVV*E00135*L1 (SCS);"SCS PSID: 137897
Hauptstrasse 1 links
PLID: 3417";5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.607377, 49.471439], ""type"": ""Point""}";extern;5b254c12-9a7d-48b9-bf8b-0e18ae8df4b9;{};1;;;49.471439, 8.607377
f6833a07-704d-44ef-969f-68d3a016c240;DE*MVV*E00188*R1;"SCS PSID: 138456
Gallileistrasse 1
PLID: 3442";5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.474959, 49.47912], ""type"": ""Point""}";extern;63324a30-7cba-4840-bbbe-9fa4de08e071;{};1;;;49.47912, 8.474959
b6b8189b-421f-4c90-a07e-f9191fadd69f;DE*MVV*E00186*R1;"SCS PSID: 138187  
Gallileistrasse 1, ganz rechts
PLID: 3442";5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.474808, 49.479226], ""type"": ""Point""}";extern;951ac428-b268-46a9-a73f-6a7664da638c;{};1;;;49.479226, 8.474808
00E8BF3B0018106A;Nwave Sensor 4;Nwave Sensor 4;5eb25c865eefeb0047cc22ee;;LoRa;2aaf5f48-4dec-4c70-9aca-a61c0c1a48e8;{};1;;;
00E8BF3B00181099;Nwave Sensor 5;Nwave Sensor 5;5eb25c865eefeb0047cc22ee;;LoRa;2aaf5f48-4dec-4c70-9aca-a61c0c1a48e8;{};1;;;
00E8BF3B001810B4;DE*MVV*E00054*L1 (Nwave);DE*MVV*E00054*L1 (Nwave);5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.482134, 49.456533], ""type"": ""Point""}";LoRa;4d6d0f87-b845-4f73-b81c-5b8705d18c30;{};1;;;49.456533, 8.482134
6da307b8-74b3-45e1-9975-b0e3743afc2d;DE*MVV*E00176*R1;"SCS SCS PSID: 149919
Technoseum, ganz rechts
PLID: 3790";5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.49588, 49.47745], ""type"": ""Point""}";extern;d42b0d8e-04ee-4802-9587-009f79f94a89;{};1;;;49.47745, 8.49588
41b09f79-00ca-42e9-8ef6-d62993193323;DE*MVV*E00156*L1;"SCS PSID: 149931
Bromberger Baumgang, Ladesaeule an Strasse
PLID: 3800";5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.47621682, 49.54343717], ""type"": ""Point""}";extern;6969a0b3-34c3-4543-872b-e60bfe03c9c9;{};1;;;49.54343717, 8.47621682
