Berufsbezeichnung,Datum,In_Neuordnung,Ministerium,Anzahl
Fluggerätelektroniker/-in,2013-06-28T00:00:00Z,Ja,BMWK,110
Fluggerätmechaniker/-in,2013-06-26T00:00:00Z,Ja,BMWK,795
Fotograf/-in,2009-05-12T00:00:00Z,Ja,BMWK,246
Fotomedienfachmann/-in,2008-03-19T00:00:00Z,Nein,BMWK,24
Friseur/-in,2022-07-05T00:00:00Z,Nein,BMWK,6706
Gebäudereiniger/-in,2019-07-28T00:00:00Z,Nein,BMWK,692
Geigenbauer/-in,2015-07-16T00:00:00Z,Nein,BMWK,2
Geomatiker/-in,2010-05-30T00:00:00Z,Nein,BMWK,220
Gerüstbauer/-in,2000-05-26T00:00:00Z,Nein,BMWK,422
Gestalter/-in für immersive Medien,2023-04-05T00:00:00Z,Nein,BMWK,12
Gestalter/-in für visuelles Marketing,2009-06-30T00:00:00Z,Nein,BMWK,476
Gießereimechaniker/-in,2017-01-09T00:00:00Z,Nein,BMWK,237
Glas- und Porzellanmaler/-in,1962-02-07T00:00:00Z,Nein,BMWK,0
Glasapparatebauer/-in,2023-05-15T00:00:00Z,Nein,BMWK,26
Glasbläser/-in,2001-03-27T00:00:00Z,Nein,BMWK,2
Glaser/-in,2001-07-05T00:00:00Z,Nein,BMWK,338
Glasmacher/-in,1985-07-15T00:00:00Z,Nein,BMWK,2
Glasveredler /-in,2004-04-27T00:00:00Z,Nein,BMWK,10
Gleisbauer/-in,2009-02-20T00:00:00Z,Ja,BMWK,300
Goldschmied/-in,1992-04-02T00:00:00Z,Ja,BMWK,194
Graveur/-in,2016-06-03T00:00:00Z,Nein,BMWK,8
Hafenschiffer/-in,2006-01-20T00:00:00Z,Nein,BMWK,33
Handzuginstrumentenmacher/-in,1997-01-27T00:00:00Z,Nein,BMWK,0
Hauswirtschafter/-in,2020-03-19T00:00:00Z,Nein,BMWK,512
Hochbaufacharbeiter/-in,2009-02-20T00:00:00Z,Ja,BMWK,956
Holzbearbeitungsmechaniker/-in,2004-07-15T00:00:00Z,Nein,BMWK,105
Holzbildhauer/-in,1997-01-27T00:00:00Z,Nein,BMWK,3
Holzblasinstrumentenmacher/-in,1997-01-27T00:00:00Z,Nein,BMWK,14
Holzmechaniker/-in,2015-05-19T00:00:00Z,Nein,BMWK,470
Holzspielzeugmacher/-in,1996-07-08T00:00:00Z,Nein,BMWK,21
Holz- und Bautenschützer/-in,2007-05-02T00:00:00Z,Nein,BMWK,33
Hörakustiker/-in,2016-09-05T00:00:00Z,Nein,BMWK,1008
Hotelfachmann/-frau,2022-03-09T00:00:00Z,Nein,BMWK,7311
