Geografische Koordinaten;ID;Spielgerätename;Spielgeräteart;Stadtbezirk Nr.;Stadtbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Unterbezirk Nr.;Unterbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum
51.5099390013, 7.4718299986;2339;Klettergerüst;Klettergeräte;10;Innenstadt-West;000;City;004;Cityring-Ost;011;City;;
51.4909718656, 7.4965089184;2342;Wippe Skate;Wippen;5;Hörde;530;Hörde;532;Hörde;082;Hörde;082;Hörde
51.4911884822, 7.4974808717;2345;Wippe Gras mittel;Wippen;5;Hörde;530;Hörde;532;Hörde;082;Hörde;082;Hörde
51.4912242052, 7.4975732743;2347;Wippe Gras klein;Wippen;5;Hörde;530;Hörde;532;Hörde;082;Hörde;082;Hörde
51.544373441, 7.5354419158;2355;Kicker;Ballsportanlagen;2;Scharnhorst;260;Alt-Scharnhorst;263;Westholz;053;Alt-Scharnhorst;;
51.5317915615, 7.5965331953;2359;Tischtennisplatte 1 RS;Tischtennisplatten;3;Brackel;310;Asseln;311;Asselburg;061;Asseln;;
51.5312675293, 7.5965916344;2360;Sitzgruppen mit Betontische u. Holzhocker vorne;Sitzgelegenheiten;3;Brackel;310;Asseln;311;Asselburg;061;Asseln;;
51.5318871163, 7.5967187798;2362;2er-Reck RS;Reckstangen;3;Brackel;310;Asseln;311;Asselburg;061;Asseln;;
51.504784631, 7.473366275;2363;Sprunggrube;Sandspielgeräte;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.5044633347, 7.4739523141;2364;Tischtennisplatte 1;Tischtennisplatten;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.5217684872, 7.4474904531;2366;Klettergerät;Klettergeräte;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen
51.5278046656, 7.4844431368;2368;Tischtennisplatte 2;Tischtennisplatten;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5276924126, 7.4845799687;2369;Seilnetzwürfel;Klettergeräte;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5277881937, 7.484519304;2372;Tischtennisplatte 1;Tischtennisplatten;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5278417362, 7.4846268463;2373;Sprungmatte Brücke;Sprunggeräte;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.4710612219, 7.5966298032;2385;Tischtennisplatte;Tischtennisplatten;4;Aplerbeck;450;Sölderholz;452;Lichtendorf;074;Sölde/Sölderholz;;
51.5381678957, 7.4430883667;2402;Klettergerät;Klettergeräte;20;Innenstadt-Nord;040;Hafen;041;Hafen;021;Hafen;021;Hafen
51.5047559893, 7.4736745493;2405;Unterstand mit Sitzgelegenheiten;Sitzgelegenheiten;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.5042705852, 7.4741704102;2408;Klettergerät mit Wackelbrücke u. Rutsche;Klettergeräte;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.504415257, 7.4745931592;2409;Tischtennisplatte 2;Tischtennisplatten;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.5089078329, 7.5112034667;2415;Karussell;Drehteller (Conlastic Schale u. ä. );30;Innenstadt-Ost;080;Westfalendamm;082;Gartenstadt-Nord;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5089497516, 7.5108115499;2417;Tischtennisplatte 1;Tischtennisplatten;30;Innenstadt-Ost;080;Westfalendamm;082;Gartenstadt-Nord;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5087492351, 7.5104859207;2421;Metallgitterbank blau neben Jugendtreff 1;Sitzgelegenheiten;30;Innenstadt-Ost;080;Westfalendamm;082;Gartenstadt-Nord;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5094123436, 7.5118289299;2422;Basketballkorb 2;Ballsportanlagen;30;Innenstadt-Ost;080;Westfalendamm;082;Gartenstadt-Nord;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5713578151, 7.3802442271;2423;Drehteller (Conlastic Schale u. ä. );Drehteller (Conlastic Schale u. ä. );9;Mengede;920;Mengede;923;Mengede-Mitte;122;Mengede/Oestrich/Schwieringhausen;;
51.5666403074, 7.368686089;2426;Sitzgelegenheiten;Sitzgelegenheiten;9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;
51.5665865276, 7.3692249104;2428;Sitzgelegenheiten;Sitzgelegenheiten;9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;
51.4757043691, 7.5326381764;2431;"Federwippe ""Motorrad mit Beiwagen""";Wippen;4;Aplerbeck;420;Berghofen;421;Berghofen Dorf;072;Berghofen;;
51.5666763522, 7.3686432303;2434;Balanciergeräte;Balanciergeräte;9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;
51.5674333023, 7.3680580635;2435;Bolzplatztore;Bolzplatztore;9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;
51.559375073, 7.3901171753;2438;TT-Platte;Tischtennisplatten;9;Mengede;930;Nette;930;Nette;123;Nette;123;Nette
51.5593011146, 7.3899075345;2439;Tischtennisplatten;Tischtennisplatten;9;Mengede;930;Nette;930;Nette;123;Nette;123;Nette
51.5670593525, 7.3685301915;2444;Ballsportanlagen;Ballsportanlagen;9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;
51.5588579527, 7.3899157243;2452;Sitzgelegenheiten;Sitzgelegenheiten;9;Mengede;930;Nette;930;Nette;123;Nette;123;Nette
51.5589036908, 7.3899028057;2453;Sitzgelegenheiten;Sitzgelegenheiten;9;Mengede;930;Nette;930;Nette;123;Nette;123;Nette
