Jahr;Stadtbezirk;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate);Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) deutscher Frauen;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) nicht-deutscher Frauen;Bevölkerungsbewegungen - Allgemeine Geburtenziffer (GFR-General Fertility Rate);Bevölkerungsbewegungen - Allgemeine Geburtenziffer (GFR-General Fertility Rate) deutscher Frauen;Bevölkerungsbewegungen - Allgemeine Geburtenziffer (GFR-General Fertility Rate) nicht-deutscher Frauen;Bevölkerungsbewegungen - Durchschnittsalter der Mütter bei der Geburt (Langzeitmittel);Bevölkerungsbewegungen - Durchschnittsalter deutscher Mütter bei der Geburt (Langzeitmittel);Bevölkerungsbewegungen - Durchschnittsalter nicht-deutscher Mütter bei der Geburt (Langzeitmittel);Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) - jahresscharf;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) deutscher Frauen - jahresscharf;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) nicht-deutscher Frauen - jahresscharf
1991;570;;;;;;;;;;0;0;
1995;611;1,2;1;1,7;45,9;41,7;77,5;28,1;28,6;26,1;1;0,9;1,8
1993;421;;;;;;;;;;1;1;0,8
2013;650;1,5;1,5;0,9;48;47,1;70,4;31,2;31,2;31,5;1,4;1,4;0,7
1990;211;;;;;;;;;;1,5;1,4;2,3
2007;111;0,9;0,9;1;27,3;25,6;37,7;31,5;32;29,8;0,6;0,8;0,4
1993;670;;;;;;;;;;0;0;0
1992;540;;;;;;;;;;1,2;1,1;3,3
1996;630;1,2;1,2;0,9;45,2;44,2;108,7;29,6;29,7;27,8;1,2;1,2;2,1
2018;622;1,6;1,6;0,1;52,9;51,6;457,1;33;32,9;33,2;1,3;1,5;1
1994;423;;;;;;;;;;1,1;1;2,6
1996;232;2,4;1,2;1,5;100,4;83,2;188,5;27;28,8;26,3;3,9;2,2;6,8
2011;112;0,9;1;0,7;28,8;28,4;34,7;32,4;32,7;31;1,1;1,2;1
2019;212;1,4;1,5;1;45,3;48,4;32,4;32,5;32,6;32,1;1,1;1,2;0,3
2014;670;1,6;1,5;2,1;51,2;46,8;74,8;31,5;31,7;31;1,6;1,6;1,5
1993;521;;;;;;;;;;1;0,9;1,8
2007;211;1,3;1,3;1,5;47,4;46,1;56,6;32,9;33,1;31,8;1,3;1,3;1,1
1989;430;;;;;;;;;;1,4;1,5;1
2022;613;1,7;1,3;1,7;66,1;56,3;106,9;28,7;30,4;27,3;1,6;1,5;2,2
2006;111;0,9;0,9;1;28,2;26,6;39,2;31,2;31,7;29,6;1,6;1,3;3,1
2011;212;1,1;1,2;1;35,1;36,1;30,9;32,1;32,2;31,9;1,2;1,3;0,7
1991;421;;;;;;;;;;1,2;1,1;1,7
2000;540;1,3;1,2;2;42,9;38,7;72,6;28,9;28,9;29,3;1,4;1,5;1,1
2010;232;1,2;0,6;1,1;56,8;42,4;200;26,9;28,4;26,1;3,1;2,2;2,6
2008;612;1,4;1,1;2;45,1;34,8;83;28,6;29,1;27,8;1,2;1,1;1,4
2000;231;1,2;1;2,1;48,4;41,4;87;27,9;28,5;26,3;1,4;1;2,7
2017;330;1,6;1,6;0,8;57;55,7;134,1;32,6;33,2;28,9;1,9;2;1,3
2008;111;0,9;0,9;0,9;27,3;26;35,1;31,5;32;29,9;0,7;0,8;0,4
2018;112;1,2;1,2;1,3;35,9;32,9;50,6;32,3;32,9;30,6;1,4;1,5;1
2004;660;1,7;1,4;2,3;54,5;45;83,1;27,9;28;27,6;1,7;1,5;2,5
1993;220;;;;;;;;;;1,1;1;3,7
2003;640;1,4;1,4;0,9;45;44,1;74,4;30,3;30,5;29,2;1,4;1,2;2,1
2024;522;1,2;1,2;1,3;42,5;38,4;53,9;31,5;31,9;30,8;1,2;1,4;0,9
2008;211;1,4;1,3;1,5;47,5;46,3;55,5;32,7;32,8;32;1,7;1,7;2,3
1999;422;0,9;0,9;0,7;33,4;33,8;36,8;32;32,3;29,4;1,1;1,1;0,5
2018;613;1,4;1,1;0,7;54,5;82,2;94,6;29,5;29,7;29,2;8,4;7,6;2
1997;550;1,1;1,2;0,6;44,4;44,8;113,2;30,5;30,6;29,4;1,5;1,2;2,7
2018;513;1,2;1,2;1,1;39,4;39,7;38,8;30,9;31,4;29,1;1,2;1,3;1,3
2002;531;1,1;1;1,2;37,2;34,3;44,5;29,3;29,9;28;0,9;0,9;0,7
2012;240;1,5;1,4;1,9;47,9;44,5;72;28,9;28,9;28,6;1,8;1,6;3,8
2013;232;1,3;0,7;1,3;57,9;60,7;125,4;27,1;28,7;26,1;1,1;0,5;1,6
2017;622;1,6;1,5;0;53,1;50,6;435,9;33,1;33,1;33,5;2,6;2,5;0,8
1989;310;;;;;;;;;;1;0,9;2
2005;611;1;0,9;1,5;37,1;31,8;61,6;28,9;29,5;27,4;1,2;1;2,2
1997;112;0,9;0,8;0,9;33;32,1;43,1;30,1;30,5;27,2;0,8;0,7;1,2
2013;670;1,6;1,5;2,2;51,3;46,3;78,7;31,5;31,7;30,9;1,5;1,3;2,3
1991;212;;;;;;;;;;0,9;0,9;0,9
1999;522;1,3;1,2;1,3;47,6;44,8;76,7;28,8;29,2;27,1;1,1;1;1,8
2017;430;1,7;1,9;0,4;57,1;62,3;67,1;32,5;32,8;30,7;2,6;2,8;2,9
2020;611;1,2;1,2;1,3;45,6;44,1;50,3;31;31,4;30,1;1,2;1,3;1,2
2023;233;1,4;1,4;1,4;52,1;49;66,3;31,6;31,7;31,3;1,4;1,3;1,7
2021;233;1,5;1,5;1,7;53,1;50,3;61;31,4;31,5;31,1;1,8;1,7;2,9
1997;513;1,1;1,1;1,4;45,4;43,2;53,5;29,3;29,8;27,7;1,2;1,2;1,5
1994;540;;;;;;;;;;1,1;0,9;3
2015;220;1,3;1,3;1,4;44,6;42,6;53,2;31,6;31,8;30,6;1,3;1,3;1,2
2019;240;1,6;1,4;2,5;59,8;52,1;93,1;30,2;30,4;29,6;1,7;1,4;2,6
2015;512;1;1;1;33,2;32,4;36,7;31,5;31,6;31,3;1,6;1,6;1,5
2019;532;1,1;1,1;1,3;41,3;38,6;53,2;32;32,1;31,5;1;1;1
2010;570;;;;;;;;;;0;0;0
1998;512;1;0,9;1,6;38,8;36,1;56,6;28,7;29,3;26,7;0,9;0,8;1,6
2009;531;1,2;1,2;1,3;37;34,6;40,9;29,8;29,9;29,5;1,3;1,2;1,6
2015;612;1,4;1,3;1,9;49,4;42,7;68,3;28,7;28,7;28,6;1,5;1,5;1,5
2010;424;1,3;1,3;1,5;43,7;40,4;58,3;31,2;31,7;29,5;1,5;1,6;1,3
1997;613;1,5;1,5;0,2;62,1;65,9;500;29,8;30,3;27,1;2,8;2,5;1,3
2003;560;1,4;1,4;0,3;40,8;39,9;370,4;30,7;31;27,5;0,9;1;0
1992;614;;;;;;;;;;1;0,9;1,8
2006;120;1,2;1,2;1,4;38,5;37,7;46;30,9;31;30,6;1,1;1,1;1,2
2007;512;1;0,9;1,1;34,1;32,4;41,1;30,1;30,3;29,3;1,2;1,3;1,1
1996;621;0,9;0,9;1,2;34,5;33,7;47;29,9;29,9;29,4;0,9;0,9;1,8
1990;614;;;;;;;;;;1,4;1,4;1,7
2022;522;1,4;1,3;1,5;47,4;42,3;62;31,4;31,6;30,9;1,2;1,1;1,5
2014;120;1,3;1,3;1,1;41,9;42;43,7;32;31,8;32,9;1,3;1,6;0,3
2011;621;1,4;1,3;1,7;44,8;42,2;61,7;31,1;31,5;29,3;1,6;1,5;1,7
2008;340;1,2;1,3;0,5;36,2;35,8;100,8;31,9;31,7;33,2;1,6;1,8;0,3
2007;320;1,2;1,2;1,1;36,8;35,3;43,5;30,7;31,6;27,4;1,2;1,3;1
2023;611;1,2;1,2;1,4;46,1;43,5;54,3;31,4;31,8;30,5;1,1;1;1,6
2011;521;1,4;1,4;1,1;43,1;42,2;63,2;31,6;31,8;30,2;1,2;1,2;1,7
2004;531;1,1;1;1,2;35,4;31,4;42,8;29,2;29,7;28,3;1,2;1,1;1,9
2003;540;1,5;1,4;1,9;45,5;41,7;68,7;28,4;28,4;28,5;1,3;1,1;1,7
2022;330;1,6;1,6;0,7;55,4;54,7;202;33;33,3;30,9;1,6;1,7;0,5
2007;612;1,4;1,1;2,1;45,6;35,1;85,6;28,8;29,5;27,7;1,5;1,3;2,3
1996;521;1,1;1;0,9;39,6;37,1;110,7;29,1;29,7;25,4;1,2;1,1;2
2008;320;1,2;1,2;1,1;36,6;35,2;43,2;30,7;31,6;27,5;1,2;1,3;1
2015;240;1,5;1,4;1,9;51,8;48,5;75;29,3;29,1;30,2;1,7;1,5;2,7
2007;220;1,3;1,3;1,7;47,6;44;70;31,6;31,9;30,7;1,4;1,1;2,7
1993;512;;;;;;;;;;1,3;1;2,2
2010;212;1,1;1,1;1,1;34,7;35,1;32,9;32,1;32,3;31,6;1,3;1,4;1,2
2003;660;1,7;1,4;2,3;54,9;45,8;82,8;27,8;27,9;27,6;1,6;1,2;2,5
2022;310;1,3;1,4;1,1;39,9;42,9;26,7;33,4;33,5;32,7;1,1;1,2;1
1993;120;;;;;;;;;;1,2;1;2,8
2018;570;;;;;;;;;;0;0;0
1995;422;0,9;0,9;0,7;33;32,9;43,2;31,4;31,5;29,7;0,7;0,7;0,5
1995;522;1,3;1,3;1,5;51,1;49,3;64,1;27,9;28;27,4;0,9;1;0,5
2002;614;1,4;1,3;1,1;45,5;43,1;94,7;29,8;30,1;28,3;1,5;1,4;2,1
2017;513;1,2;1,2;1,1;38,6;38,4;39,1;30,7;31,2;29,1;1,3;1,3;1,4
2005;531;1,1;1;1,3;35,3;31,9;41,3;29,3;29,6;28,8;1;1;1,3
2012;621;1,4;1,3;1,7;46,4;43,5;65,1;31,2;31,5;29,9;1,5;1,3;2
1991;232;;;;;;;;;;2,2;2,9;1,1
2013;212;1,2;1,2;1,1;37,4;38,1;34,6;32,1;32,2;31,7;1,6;1,7;1,9
2010;112;0,9;0,9;0,8;28,7;27,7;36,1;32,1;32,6;30,2;1,1;1,2;0,9
2020;614;1,6;1,5;1,9;57,5;52,1;83,7;29,9;30,3;29,2;2;2;2,1
2010;421;1,3;1,3;1,2;44,2;43,7;49,7;33,2;33,4;31,5;1,2;1,3;0,9
2012;220;1,3;1,2;1,7;44,8;40,8;65,5;31,5;31,7;30,9;1,4;1,4;1,9
2019;120;1,3;1,4;1,1;46,8;48,3;42,1;32,9;32,8;33,3;1,4;1,6;0,5
1999;611;1;0,9;1,5;39,9;36,5;60,1;28,9;29,4;27,2;0,9;0,8;1,5
2007;240;1,3;1,2;1,7;39,1;35,4;66,5;29,1;29,5;27,8;1,3;1,6;0,8
2015;532;1,1;1;1,3;37,9;34,4;54,1;31,5;31,8;30,5;1,2;1,1;2,2
1997;570;;;;;;;;;;0;0;0
1997;424;1,2;1;1,8;44,6;40,1;72,9;30;30,4;28,6;1,2;1;2,6
2010;613;1,1;1,1;0,2;45,8;52;118,3;26,8;26,7;27,3;1,9;1,3;1
1997;430;1,1;1;0,6;38,2;37,5;101,3;31,1;30,9;32;1,5;1,2;3,8
2012;120;1,2;1,3;1,2;38,4;37,1;46,5;32;31,9;32,3;1,5;1,4;1,7
2022;622;1,6;1,6;0,1;54,8;53,1;231,6;33,4;33,6;32,4;1,7;1,7;1,3
1998;621;0,9;0,9;1,3;37,1;35,4;59,8;30,4;30,6;28,8;1,2;1,1;1,7
2010;630;1,7;1,7;1,8;55,6;52,4;115,6;29,8;29,9;29,4;2,3;2,3;3,2
2009;614;1,6;1,6;1,5;50,9;48,7;68,1;29,5;29,9;27,6;1,5;1,5;2,2
2024;233;1,4;1,3;1,4;49,7;47,1;62,5;31,4;31,5;31,1;1;1;1,2
2013;521;1,5;1,4;1,5;44,7;41,9;72;31,3;31,7;29,6;1,2;1,2;2,5
2000;211;1,1;1,1;1;41,4;41,5;41,2;32,4;32,7;30,3;1;1,1;0,5
1992;531;;;;;;;;;;1,1;1,1;0,9
1998;220;1,1;1,1;1,4;46,1;43,9;67;30,2;30,4;28,8;1;1,1;0,8
2016;622;1,5;1,5;0,2;49,2;48,3;309,5;32,8;32,7;33,8;1,7;1,5;2
2009;422;1,3;1,4;0,9;42,3;44,3;30,7;33,3;33,4;32,3;1,1;1,2;0,6
2000;560;1,4;1,3;0;44,1;43,1;733,3;30,4;30,5;29,1;1,3;1,2;1
2007;532;1;0,9;1,3;33,9;29,5;55,3;30,6;31,4;28,6;1,1;1,1;1
1999;233;1,2;1;1,6;44,4;35,5;76,2;27,1;28,3;25,4;1,3;0,9;2,1
1990;531;;;;;;;;;;1,3;1,2;1,8
1994;640;;;;;;;;;;1,6;1,7;0,3
2023;422;1,3;1,4;0,8;46,3;48,1;38,9;33,5;33,7;31,6;1,1;1,1;0,6
2021;422;1,4;1,5;0,9;50,8;52,7;46,2;33,5;33,5;33,5;1;1,1;0,6
2021;522;1,4;1,3;1,6;47,8;41,7;63,2;31,3;31,5;30,9;1,3;1,2;1,5
2004;640;1,4;1,4;0,7;42,1;41,3;70,6;30,1;30,4;27,8;1,3;1,3;1,2
2020;660;1,7;1,5;2,1;58,9;51,9;72,1;29,1;29,2;29;1,6;1,7;1,5
1998;120;1,3;1,1;1,9;45,9;41,1;76;29,4;30;27,8;1,4;1,2;2,1
2018;550;1,4;1,5;0,2;48;47,7;91,6;32;32,1;31,8;1;1;0,3
2010;670;1,7;1,6;2,1;54,8;50,8;77,3;31,5;31,9;30;1,8;1,8;2,4
2016;522;1,3;1,2;1,8;42,8;35,8;64,6;30,1;30,1;30,2;1,7;1,5;2,1
2020;531;1,3;1,3;1,3;38,4;36,5;41,5;30,5;30,8;29,9;1,2;1,3;1,2
2010;550;1,4;1,3;0,6;44,5;41,9;140,5;31,7;32;30,3;2;2;2,5
2018;430;1,8;2;0,4;60,9;68,3;60;32,7;33;30,9;2;2,4;2,2
2011;120;1,2;1,2;1,1;37,3;36,6;42,9;31,6;31,5;31,9;1,5;1,6;1,6
2005;614;1,5;1,5;1,2;48,3;46,4;75,3;29,6;29,9;28,4;1,2;1,3;0,9
1998;532;1;1;1,4;41,6;39,1;71,1;29,9;30,2;28,1;0,9;0,9;1,5
2016;330;1,6;1,5;1;55,5;53,5;120,4;32,8;33,2;30,8;1,4;1,5;1,4
2002;611;1;0,9;1,4;36,9;33,7;54,9;29,1;29,8;27;1;0,9;2
1992;660;;;;;;;;;;0;0;0
2006;621;1,3;1,1;2,2;43,2;38;84,7;31,1;31,7;29,1;1,3;1,1;2,7
2012;512;1;1;1;32,6;31,7;37,2;30,7;30,7;30,5;0,9;0,9;0,7
2001;640;1,4;1,4;0,7;45,5;45;96,5;30,3;30,4;29,2;1,3;1,3;1,1
1996;120;1,3;1,1;2;46,7;40,4;81,6;29;29,5;27,6;1,6;1,6;1,5
1995;233;1,3;1,1;1,6;46,5;42;65,8;27,4;28,3;25,2;1,3;1,3;1
2024;622;1,5;1,5;0,4;52,9;53,6;149,6;33,6;33,9;31,8;1,6;2;0,2
2005;422;1;1,1;0,9;35,6;36,4;31,3;32,5;32,6;31,5;1,3;1,4;1,1
1990;660;;;;;;;;;;1,9;1,7;3
2018;424;1,6;1,5;2;55,4;50,4;74,5;31,7;32,4;30;1,7;1,6;2,2
2012;532;1;0,9;1,3;35,7;31;59,2;30,9;31,6;29,2;1,4;1,4;1,6
1994;560;;;;;;;;;;1,8;1,8;0,5
1990;640;;;;;;;;;;1,8;1,9;1,4
2001;660;1,7;1,5;2,3;57;49,5;81,2;27,8;28,1;27,1;1,6;1,5;2,1
2024;310;1,3;1,4;0,9;39,5;43,1;22,9;33,5;33,6;33;1;1,2;0
2010;650;1,7;1,7;1,4;54,7;52,5;86,4;30,6;30,6;30,5;1,7;1,8;1,5
2009;611;1,1;1;1,3;38,7;34,1;58,9;29,1;29,5;28,3;1,2;1,2;1
1989;522;;;;;;;;;;1,3;1;3,3
2019;220;1,3;1,3;1,3;43,5;42,6;46,5;31,7;32,4;29,5;1,1;1,1;1,3
1991;521;;;;;;;;;;1,1;1;1,7
2020;680;1,3;1,3;1,1;33;35;25;33,1;33,2;33;1,7;1,9;1,8
1994;231;;;;;;;;;;1;0,9;1,4
1989;330;;;;;;;;;;1,2;1,1;0,5
2019;512;1,1;1,2;0,9;37;38;33,3;32;32,2;31;1,1;1,1;1,1
2004;614;1,5;1,4;1,5;48,8;45,8;87,8;29,5;29,8;28,4;1,7;1,6;3
2017;310;1,4;1,5;0,9;42,2;45,4;26,1;32,9;32,8;33,5;1,4;1,3;1,6
1998;240;1,5;1,4;1,7;53,7;51,6;87,3;29,9;30,2;28;1,5;1,6;0,8
1993;621;;;;;;;;;;0,9;0,9;0,8
2017;410;1,4;1,4;1,3;46,6;47,2;44,3;32,5;32,6;32,2;1,7;1,7;1,5
1992;640;;;;;;;;;;1,4;1,5;1
2016;310;1,4;1,5;0,8;43,3;46,8;23,3;32,7;32,6;34,2;1,2;1,3;0,5
2008;423;1,2;1,2;0,9;38,3;38,7;37,3;32;32,3;29,8;1,1;1,2;0,2
2014;621;1,5;1,4;1,5;49,8;48;60,1;31,5;31,8;30;1,6;1,6;1,9
2018;680;1,2;1,2;1,2;31,6;32,5;28,1;32,9;33;32,3;1,1;1;1,7
1992;532;;;;;;;;;;1,3;1,2;2,3
2012;622;1,9;1,9;0,6;57;56,6;220,2;33,6;33,8;31,8;0,7;0,7;0,5
2001;513;1,1;1;1,2;40,6;38,3;48,3;29,8;30,3;28,4;0,9;0,9;0,9
2013;522;1,2;1;1,8;40,1;32,1;68;29;28,7;29,5;0,9;0,6;1,7
1997;640;1,5;1,5;1;53,3;53,2;74,1;30,1;30;30,5;1,7;1,7;2,7
2004;424;1,3;1,1;1,7;45,3;40;72,8;30,7;31,3;28,9;1,4;1,2;2
2003;310;1,2;1,2;1,2;43,1;40,9;70,5;31,8;32,5;28,1;1,3;1,2;2
2012;430;1,1;1,1;0,6;33,8;33,2;84,8;32,7;32,6;33,1;1,1;1,1;1,5
2019;330;1,6;1,5;0,7;54,5;52,8;193,3;32,9;33,3;30,2;2,1;2,3;0,3
1998;330;1,2;1,2;0,2;48;46,4;388,9;29,6;29,6;29,9;1,8;1,6;3,3
2002;550;1,5;1,5;0,9;57,4;55,8;224,5;31,5;31,8;29,2;1,9;1,7;1,6
2002;650;1,8;1,7;1,5;59,7;55,8;161,3;29,4;29,8;27,3;1,6;1,5;1,9
1999;612;1,4;1,2;2;48,1;41,4;71,7;28,3;28,8;27,3;1,4;1,2;2,3
1998;430;1;1;0,7;36,4;36,4;78,7;31,8;31,7;32,3;0,8;0,8;1
1998;622;0,9;0,7;1,2;28,7;24,2;55,1;29,2;30,1;27,2;1;0,9;1,9
1999;320;1,2;1,2;1,3;42,7;40,3;58,3;30,1;30,8;27,3;1,3;1,3;1,3
1993;410;;;;;;;;;;1,1;0,9;1,7
2001;613;1,5;1,3;0;52,4;58,2;322,6;29,6;29,6;29,5;0,6;0,8;0
2005;421;1;1,1;0,9;36,8;37,3;33,1;32,9;33;31,9;1;1;1,4
2023;521;1,4;1,3;1,8;44,9;38,5;74,9;32,3;33,2;30,5;1,2;1,1;1,2
2021;521;1,4;1,3;1,7;44,3;38,5;78,7;32,1;32,8;30,2;1,4;1,3;1,9
1989;120;;;;;;;;;;0,9;0,8;2,2
2013;422;1,3;1,4;0,8;45;46,3;39,4;33,6;33,8;32,1;1;1,1;1,7
2000;310;1,2;1,1;1;42,9;42;64;31,4;31,9;28,4;1,1;1,2;1
1995;111;0,8;0,8;1,1;32,9;30,5;50,6;28,5;28,9;27,2;1;0,9;2,2
2019;622;1,7;1,7;0,2;58,3;56,3;540,5;33;33,1;32,8;1,8;1,6;1,8
2005;112;0,9;0,9;1;31,1;29;48,5;32,2;32,6;30,8;1,1;1,1;1,1
2018;640;1,6;1,4;2;57;48,6;98,7;30,1;30,7;28,9;1,6;1;3,1
2020;112;1,2;1,2;1,1;36,1;35;42,5;32,2;32,7;30,2;1,1;1,1;0,9
1990;532;;;;;;;;;;0,9;0,9;1,2
2010;614;1,5;1,5;1,6;49,9;47,9;64,8;29,2;29,5;28;1,7;1,8;1,3
2020;421;1,4;1,4;1,3;49,2;48,8;53,4;33,4;33,6;31,9;1,5;1,5;1,6
2011;330;1,4;1,3;0,5;49,3;46,9;196,6;32,5;32,6;32,4;1,9;1,9;2
2019;430;1,8;2;0,4;60,7;69,1;50,4;33;33,3;31;0,9;0,9;0,5
2015;410;1,3;1,3;1,3;43,9;43,3;45,9;32,4;32,5;31,5;1,2;1,3;0,8
2005;212;0,9;1;0,9;32,3;32,6;30,2;31,7;32,2;28,8;1,1;1,2;0,6
2010;422;1,3;1,4;0,9;43,8;45,8;33,4;33,4;33,5;32,5;1,4;1,5;1
2007;531;1,1;1,1;1,2;35,6;33,4;38,7;29,3;29,6;28,7;1,3;1,4;1,5
2020;613;1,6;1,1;1,3;61,3;58,3;155,8;28,8;30,3;27,7;1;0,8;1,2
2021;670;1,8;1,8;1,8;53,8;52,7;59;32;32,1;31,8;1,8;1,8;1,6
2021;621;1,5;1,4;1,9;54,5;50,9;68,7;32;32,8;29,6;1,5;1,4;1,7
2003;513;1;1;1,3;38,6;35;51,6;29,8;30,2;28,7;1,1;1;1,6
2015;330;1,6;1,6;0,8;57,1;55,1;146,9;32,9;33,2;30,5;1,3;1,5;0,2
2014;622;1,4;1,4;0,6;43,7;41,2;220,6;33;33,1;32;1,5;1,4;0,8
2020;650;1,8;1,9;1,8;59,9;59,6;72,1;31;31,6;28,6;2,2;2,3;2
2023;421;1,3;1,4;1,2;49,7;49,7;53,7;33,5;33,6;32,9;1,4;1,4;0,9
2023;232;1;0,6;1,2;25,6;11,9;41,4;29,6;33,1;28,7;1;1,2;1
2002;424;1,3;1,1;1,9;46,9;40,8;78,7;30,6;31,2;28,8;1,1;0,9;1,7
2000;622;1;0,9;1,5;32,8;29,1;53,4;29,9;30,9;27,3;1;1,1;0,7
1993;330;;;;;;;;;;1,1;1,2;0
2002;212;0,9;0,9;1;32,9;32,1;39,8;31,4;31,8;28,7;1,1;1,1;1,8
1994;232;;;;;;;;;;3;1,6;3,5
2004;550;1,6;1,6;0,4;58,3;56,5;300;31,9;32,2;30,2;1,8;1,7;1,3
1999;340;1,5;1,4;0,4;55;53,1;212,1;30,7;30,7;30,6;1,6;1,6;1
1997;531;1;1;1,1;37,8;36,7;41,1;28,7;29;27,9;1,4;1,4;1,3
2010;531;1,2;1,2;1,4;38,3;35,6;42,7;29,8;29,9;29,7;1,4;1,5;1,3
2012;513;1,1;1,1;1,3;36,4;33,7;46,3;30,6;31,1;29,3;1;1;1
2023;630;1,8;1,6;2,3;61,2;54,7;90,2;31,6;32,2;30,1;1,8;1,4;3,5
2014;310;1,4;1,5;0,9;43,5;45,4;31;32,6;32,6;32,8;1,5;1,6;0,7
1993;310;;;;;;;;;;1,1;1,2;0,5
1990;512;;;;;;;;;;0,9;0,8;1,3
2006;614;1,5;1,5;1,5;49,9;48;66,2;29,3;29,7;27,7;1,7;1,8;1,9
2002;112;0,9;0,8;1;30,2;29;39,9;32;32,2;30,8;0,7;0,8;0,2
2005;570;;;;;;;;;;0;0;0
1994;212;;;;;;;;;;0,9;0,9;0,3
2020;550;1,3;1,3;0,6;46,1;45,7;81,2;31,9;32,1;30,8;1,3;1,2;1,9
2005;670;2,2;2,2;2,2;66,4;64,2;82,1;31;31,5;28,7;2,3;2,1;2,8
2008;522;1,3;1,1;1,8;43,2;35,1;75,5;28,9;28,8;29,1;1,1;0,9;1,8
1991;522;;;;;;;;;;1,6;1,6;2,3
2021;212;1,4;1,5;1;45,6;48,3;35,5;32,6;32,8;31,4;1,6;1,7;1,2
2024;621;1,4;1,4;1,6;51,9;49,6;60,8;32;32,7;29,7;1,2;1,2;1,2
2015;430;1,4;1,6;0,3;47,4;49,5;78,7;32,1;32,4;30,6;1,6;1,8;1,3
2004;570;;;;;;;;;;0;0;0
2004;513;1;1;1,3;37,4;34,1;47,9;29,8;30,3;28,5;1,1;1;1,3
2023;650;1,7;1,7;1,1;54,7;55,1;64,6;31,1;31,5;29,7;1,3;1,4;0,8
2014;330;1,6;1,5;0,8;56,5;54,1;161,7;32,9;33,2;31,1;1,4;1,2;2,5
1989;521;;;;;;;;;;0,9;0,9;2
2020;630;1,7;1,6;2,1;61,5;58,2;85,8;31,2;31,6;29,5;1,7;1,4;3
2001;410;1,1;1;1,3;41,4;40,1;52,2;31,2;31,5;29,3;1;1;0,9
2018;531;1,3;1,2;1,5;37,5;33;45,9;30,3;30,6;30;1,2;1,3;1
1995;612;1,3;1,2;1,7;46,6;43,2;62,5;27,3;27,6;26,2;1,2;1,2;1,4
2009;112;0,9;0,9;0,8;28,1;26,5;40,3;31,9;32,4;30,1;0,6;0,7;0,3
2019;513;1,3;1,3;1,2;42,1;41,9;43,2;31,2;31,6;29,8;1,5;1,4;1,9
2017;560;1,6;1,6;0,4;49,8;50,4;102,6;31,8;31,9;30,5;1,7;1,8;0,8
1989;621;;;;;;;;;;1,1;1,1;0,8
2016;211;1,6;1,6;1,6;54,7;53,5;63,7;32,1;32,2;31,9;1,8;2;1
1993;622;;;;;;;;;;1,1;1,3;0,1
2009;212;1,1;1,1;1;33,6;34,2;31,3;32,1;32,1;31,7;1,3;1,2;1,6
2017;660;1,7;1,5;2,1;58,5;51;73,2;28,4;28,5;28,4;1,8;1,6;2,4
1995;320;1,1;1;1,3;38,5;35,1;69,6;29,3;29,9;26,9;1,4;1,3;2,7
2014;522;1,2;1;1,8;39,6;32,2;64,5;29,3;29,2;29,4;1,3;1,2;2,1
1996;233;1,2;1;1,6;43,8;38,6;62,8;27,3;28,2;25,5;1,1;0,9;1,6
2008;422;1,3;1,3;0,9;41,4;43,4;29,3;33,2;33,2;32,9;1,8;1,8;2
2022;120;1,3;1,4;0,9;45,1;48,1;33,9;33,1;33,1;33,5;1,2;1,4;0,3
1999;111;0,7;0,6;1;27,2;24,2;49,6;30,3;30,9;28,7;0,8;0,7;1,2
1994;650;;;;;;;;;;1,7;1,4;3,5
2003;430;1;1;0,3;35;36,3;62,9;33,5;33,8;32;1,3;1,6;0
2017;640;1,6;1,5;2;55,6;48,8;90,1;29,8;30,4;28,3;2;1,9;1,9
1990;220;;;;;;;;;;1,3;1,3;1,4
2008;611;1;1;1,4;37,8;33,1;58;29,3;29,6;28,5;1,1;1,2;1,1
2020;424;1,6;1,5;2;55,5;50,4;73,2;32;32,6;30,5;1,5;1,4;1,7
2004;613;1,1;0,8;0,5;39,6;39;153,8;28,6;27,3;31,1;0,9;0,7;1,5
2010;611;1,1;1;1,4;40,5;35,6;60;29,1;29,6;28;1,5;1,4;2
2024;521;1,3;1,2;1,5;41,7;35,4;72;32,4;33,1;30,9;0,7;0,6;1,3
2002;670;2,8;2,7;2,3;80,4;77,3;120,4;29,7;30,1;28,1;2,8;2,4;3,4
2021;232;1,1;0,5;1,4;33,7;13;54,4;28;31,5;27,3;1,3;1,5;1,2
2008;233;1,5;1,3;1,8;54,1;47,4;73,1;28,9;29,3;28,1;1,7;1,5;2,4
2009;570;;;;;;;;;;0;0;0
1995;340;1,3;1,2;0,4;46;44,5;144,1;30,1;30,2;29,7;1,9;1,6;4,5
1991;422;;;;;;;;;;1;1,1;0
1998;310;1,1;1,1;0,8;40,1;40,3;53,6;31;31,1;29,9;1,3;1,3;0,5
2005;650;1,6;1,6;1,1;53,6;49,7;163,2;29,9;30,2;28,5;2;1,9;3,1
2020;570;;;;;;;;;;0;0;0
