uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel
ec92eca0-f28f-487f-a7b8-d63623ae34c9,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Wilhelm-Busch-Weg,"12130"
6fb9726d-459c-46ce-8a36-858dd4814241,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Pablo-Picasso-Str.,"07450"
e4e448ec-7791-455a-9e9c-7c31c2910123,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Ludwig-Feuerbach-Weg,"06740"
d2df8e2e-7c12-47ac-89cc-100928a55184,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Gerhard-Marcks-Weg,"11710"
14d83a4f-c6da-4648-b652-4bcba07521b4,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Groß Stover Str.,"13390"
1d055421-d6eb-46de-a44d-f4b6ed996579,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Fockweg,"13280"
44a034b9-eb1a-4561-92ac-326235bf0a23,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Birkenweg,"01400"
8d43829a-1277-463a-b91c-a46a59ebf4f5,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Im Garten,"03980"
2aa3c1f5-4a8d-4bd7-aa33-72d90a385fa6,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Baumschulenweg,"10620"
99713885-fabd-4124-9633-d50a3789f6f5,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Schutower Ringstr.,"12670"
44721dd5-35a1-4948-9e37-a05891effdca,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Hans-Fallada-Str.,"12410"
2cc54f2c-a1b6-4f26-8735-493c9f580b41,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kornblumenweg,"11820"
0cb815de-66f1-48eb-bfbf-cc3790f81226,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Likedeelerhof,"13990"
c95c1652-f94c-4792-8cb3-6a76f959304c,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Salvador-Allende-Str.,"08170"
273d5b3f-d0e8-48f5-8b9a-90d24f644d9a,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Annette-Kolb-Ring,"12110"
23af71a6-e858-413b-ba59-17777a4ab1b6,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Mudder-Schulten-Weg,"12210"
0812d06e-b12b-462f-8984-cd3f3b7e07b6,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Hirtenweg,"10770"
f2b588d3-e6fc-4117-a6c6-3281b079b83d,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Riekdahl,"07930"
2c50c544-9be5-44e4-890c-3227be649c54,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Dorfteich,"00370"
bea7c01b-4cef-462a-beaa-46779992b1bb,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Arndtstr.,"00870"
e39c79cd-153b-4fc2-bcd9-1321cd351692,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Anklamer Str.,"00730"
8f5779f2-642d-45ad-92d2-c7c02b2a5cd3,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Bauschanweg,"01130"
fb506373-41a1-445c-bf07-65d0d0e34c49,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Stadtblick,"12290"
9fa432e1-e1d5-4a9f-b248-5710bf135a94,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Paschenstr.,"07510"
a6caa15c-65df-4c00-9145-1bb559d03f84,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Franz-Jacob-Str.,"02480"
b8216ea1-e92e-4bdf-aef4-2c193ba6677d,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Eikaterweg,"02090"
db00814a-f37c-4665-be6c-18ba6889ef00,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Gewerbestr.,"10130"
639c9b12-e017-4383-bc3f-0b26cf06ecc1,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Johann-C.-Wilken-Str.,"04030"
c82e239b-0aa1-4851-abb5-23854f0dd803,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Jahnstr.,"04080"
a686a547-7777-42b4-aebe-b6374fc366c4,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Zum Tanklager,"88220"
c2fd9653-2d6b-4ce8-92f2-fb14f7462d85,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Schleusenberg,"14220"
4daa8b68-7925-4e99-b4c9-2d8029fd30f6,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Containerstr.,"10530"
fcf2e7fa-cae9-43f6-a0cf-e034816b7380,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Reifergraben,"00490"
e17cd08b-9903-498f-bd33-b794481b34e0,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Rostocker Heide,"08070"
a4be258a-a384-46fb-99f6-03debe4a231d,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Mozartstr.,"07060"
0a90519a-332c-4843-a48c-5e24e88abbcc,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Wiesenstr.,"09720"
0edd9b3b-8cd6-4cd5-a637-673aac3e0479,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kehrwieder,"04500"
0f94bbab-164a-4fbd-886c-efbcfc8c674f,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Giordano-Bruno-Weg,"12230"
9fee81f5-b104-4d32-9af9-f251db9225cf,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Anton-Saefkow-Str.,"00760"
cb7b3fac-5167-44da-8643-2563e4dbe537,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Meisenweg,"06950"
06bbcd92-89cc-442e-9c98-dd8a5b627239,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Ziegenmarkt,"00580"
38d2d742-5349-4d66-9c02-34838373dfdf,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Upundalsprung,"09170"
d8ce7aa2-a0d6-4066-9281-4247340bd510,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Soester Str.,"08610"
