GENESIS-Tabelle: 31111-03-02-5-B
Genehmigungen für Wohnungen in Wohn- und Nichtwohngebäuden nach Zahl der Räume  - Jahressumme - regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
Jahr: 2008;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01054126;Stedesand;2;0;0;1;1
01054128;Struckum;-;-1;1;-1;1
01054129;Süderende;1;0;0;0;1
01054130;Süderhöft;-;0;0;0;0
01054131;Süderlügum;8;0;0;-1;9
01054132;Südermarsch;-;0;0;0;0
01054133;Sylt-Ost;51;6;9;21;15
01054134;Tating;2;0;0;1;1
01054135;Tetenbüll;-;-1;0;0;1
01054136;Tinningstedt;-;0;0;0;0
01054138;Tönning, Stadt;1;0;0;-1;2
01054140;Tümlauer Koog;1;0;0;0;1
01054141;Uelvesbüll;-;0;0;0;0
01054142;Uphusum;-;0;0;0;0
01054143;Utersum;3;0;0;0;3
01054144;Viöl;12;0;0;1;11
01054145;Vollerwiek;-1;0;-2;-1;2
01054146;Vollstedt;-;0;0;0;0
01054148;Welt;1;0;0;0;1
01054149;Wenningstedt-Braderup (Sylt);26;10;2;6;8
01054150;Westerhever;-;0;0;0;0
01054151;Westerland;79;49;13;7;10
01054152;Wester-Ohrstedt;6;0;0;3;3
01054154;Westre;2;0;0;1;1
01054156;Winnert;1;2;-1;-2;2
01054157;Wisch;-;0;0;0;0
01054158;Witsum;-;0;0;0;0
01054159;Wittbek;1;1;0;-1;1
01054160;Wittdün auf Amrum;-;0;0;0;0
01054161;Witzwort;-;0;0;-1;1
01054162;Wobbenbüll;3;0;1;1;1
01054163;Wrixum;1;0;0;0;1
01054164;Wyk auf Föhr, Stadt;7;1;3;1;2
01054165;Galmsbüll;2;0;0;-1;3
01054166;Emmelsbüll-Horsbüll;-;0;0;0;0
01054167;Enge-Sande;2;0;1;0;1
01054168;Sylt;-;-;-;-;-
01055001;Ahrensbök;11;0;4;2;5
01055002;Altenkrempe;5;0;0;0;5
01055004;Bad Schwartau, Stadt;47;25;5;7;10
01055006;Beschendorf;1;0;0;0;1
01055007;Bosau;-;-1;1;0;0
01055010;Dahme;6;0;2;1;3
01055011;Damlos;1;0;0;1;0
01055012;Eutin, Stadt;12;1;0;4;7
01055014;Göhl;-;0;0;0;0
01055015;Gremersdorf;2;0;1;0;1
01055016;Grömitz;38;-1;1;15;23
01055017;Großenbrode;39;0;1;13;25
01055018;Grube;-;0;0;0;0
01055020;Harmsdorf;-;0;-1;0;1
01055021;Heiligenhafen, Stadt;22;4;1;8;9
01055022;Heringsdorf;1;0;1;0;0
01055023;Kabelhorst;1;0;1;0;0
01055024;Kasseedorf;3;-1;1;1;2
01055025;Kellenhusen (Ostsee);2;1;0;0;1
01055027;Lensahn;5;2;2;2;-1
01055028;Malente;16;1;2;1;12
01055029;Manhagen;-;0;0;0;0
01055031;Neukirchen;2;0;-1;1;2
01055032;Neustadt in Holstein, Stadt;34;4;3;7;20
01055033;Oldenburg in Holstein, Stadt;9;0;1;2;6
01055035;Ratekau;25;1;1;6;17
01055036;Riepsdorf;1;0;0;0;1
01055037;Schashagen;4;-2;2;0;4
01055038;Schönwalde am Bungsberg;2;0;0;1;1
01055039;Sierksdorf;4;1;-1;1;3
01055040;Stockelsdorf;120;25;35;25;35
01055041;Süsel;11;0;1;1;9
01055042;Timmendorfer Strand;80;14;18;5;43
01055043;Wangels;16;2;1;7;6
01055044;Scharbeutz;22;3;4;12;3
01055046;Fehmarn, Stadt;89;9;21;22;37
01056001;Appen;16;0;0;1;15
01056002;Barmstedt, Stadt;29;3;8;5;13
01056003;Bevern;-;0;0;0;0
01056004;Bilsen;1;0;0;0;1
01056005;Bönningstedt;14;0;0;7;7
01056006;Bokel;-;0;0;0;0
01056008;Bokholt-Hanredder;4;0;0;1;3
