Regierungsbezirk;Kreis/Kreisfreie Stadt ;Kommune;Anzahl der durchgeführten verkaufsoffenen Sonn- und Feiertage ;für Verordnung/en herangezogene Sachgründe (1-5) nach § 6 Abs. 1 S. 2 LÖG NRW;Freigabe von verkaufsoffenen Sonn- und Feiertagen durch Dauerverordnung/en (Ja/Nein) ;gerichtliche Streitfälle/ Erläuterungen 
Regierungsbezirk Detmold;Kreis Lippe;Extertal;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Lippe;Horn-Bad Meinberg;4;Nr. 1;nein;keine
Regierungsbezirk Detmold;Kreis Lippe;Kalletal;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Lippe;Lage;4;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Lippe;Lemgo;4;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Lippe;Leopoldshöhe;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Lippe;Lügde;6;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Lippe;Oerlinghausen;1;Nr. 1;nein;keine
Regierungsbezirk Detmold;Kreis Lippe;Schieder-Schwalenberg;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Lippe;Schlangen;1;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Minden-Lübbecke;Bad Oeynhausen;4;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Minden-Lübbecke;Espelkamp;4;Nrn. 1-5;ja;keine
Regierungsbezirk Detmold;Kreis Minden-Lübbecke;Hille;1;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Minden-Lübbecke;Hüllhorst;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Minden-Lübbecke;Lübbecke;4;Nr. 4;ja;keine
Regierungsbezirk Detmold;Kreis Minden-Lübbecke;Minden;4;Nr. 1;nein;keine
Regierungsbezirk Detmold;Kreis Minden-Lübbecke;Petershagen;4;Nr. 4;ja;keine
Regierungsbezirk Detmold;Kreis Minden-Lübbecke;Porta Westfalica;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Minden-Lübbecke;Preußisch Oldendorf;2;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Minden-Lübbecke;Rahden;3;Nrn. 1-5;nein;keine
Regierungsbezirk Detmold;Kreis Minden-Lübbecke;Stemwede;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Paderborn;Altenbeken;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Paderborn;Bad Lippspringe;5;Nr. 1;nein;keine
Regierungsbezirk Detmold;Kreis Paderborn;Bad Wünnenberg;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Paderborn;Borchen;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Paderborn;Büren;2;Nrn. 1 und 3;ja;keine
Regierungsbezirk Detmold;Kreis Paderborn;Delbrück;4;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Paderborn;Hövelhof;3;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Paderborn;Paderborn;7;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Paderborn;Lichtenau;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Paderborn;Salzkotten;4;Nr. 1;nein;keine
Regierungsbezirk Düsseldorf gesamt;Regierungsbezirk Düsseldorf gesamt;Regierungsbezirk Düsseldorf gesamt;237;/;/;/
Regierungsbezirk Düsseldorf;Stadt Düsseldorf;Stadt Düsseldorf;9;10;nein;1, ProWein 10.03.2024
Regierungsbezirk Düsseldorf;Stadt Duisburg;Stadt Duisburg;10;10;Nein jährl. VO;Fehlanzeige
Regierungsbezirk Düsseldorf;Stadt Essen;Stadt Essen;14;Nr. 1;Nein;keine
Regierungsbezirk Düsseldorf;Stadt Krefeld;Stadt Krefeld;10;es werden in allen Fällen alle Sachgründe herangezogen;nein;Keine
Regierungsbezirk Düsseldorf;Stadt Mönchengladbach;Stadt Mönchengladbach;5;ausschließlich Nr. 1;nein;keine
