Stadtbezirk;Stadtteil;Stadtteilname;Jahr;INSGESAMT;HH_EINE_PERSON;HH_EINE_PERSON_25B69;HH_MIT_KINDERN;HH_MIT_3OM_KINDERN;HH_ALLEINERZIEHEND;BEVOELKERUNG_IN_HH
4;21;Borbeck-Mitte;2019;7313;3714;2470;1172;160;328;13368
4;22;Bochold;2019;9209;4396;2922;1849;379;557;18034
4;23;Bergeborbeck;2019;2243;1064;769;504;86;183;4395
5;24;Altenessen-Nord;2019;8022;3357;2275;1776;331;437;16971
5;25;Altenessen-Süd;2019;13896;7129;4992;2816;603;834;26885
5;40;Karnap;2019;3943;1734;1229;843;168;230;8081
5;50;Vogelheim;2019;2758;1122;798;692;113;202;5823
6;37;Schonnebeck;2019;5473;2200;1487;1264;194;322;11457
6;38;Stoppenberg;2019;7972;3288;2268;1746;230;451;16443
6;39;Katernberg;2019;10870;4428;2996;2752;573;803;23716
7;34;Steele;2019;8753;4410;2932;1465;210;384;16171
7;35;Kray;2019;10072;5005;3569;2003;352;620;19429
7;45;Freisenbruch;2019;8264;3512;2178;1805;319;545;16693
7;46;Horst;2019;5065;1826;1216;1188;254;249;11116
7;47;Leithe;2019;3224;1320;809;647;83;137;6516
8;31;Heisingen;2019;6428;2592;1574;1185;96;185;12744
8;32;Kupferdreh;2019;5761;2444;1673;1188;124;217;11509
8;33;Byfang;2019;987;343;192;160;14;15;2028
8;43;Überruhr-Hinsel;2019;3986;1672;984;648;61;143;7640
8;44;Überruhr-Holthausen;2019;3874;1475;898;767;89;140;7891
8;48;Burgaltendorf;2019;4701;1775;1160;868;81;151;9481
9;26;Bredeney;2019;5898;2801;1800;970;89;146;11029
9;27;Schuir;2019;661;246;149;146;17;18;1407
9;29;Werden;2019;5335;2766;1696;798;80;159;9546
9;30;Heidhausen;2019;3074;1146;712;680;75;83;6513
9;42;Fischlaken;2019;2262;908;564;462;38;77;4521
9;49;Kettwig;2019;9449;4180;2563;1599;148;319;17952
1;1;Stadtkern;2018;2421;1686;1239;280;70;75;3850
1;2;Ostviertel;2018;3930;2427;1797;641;164;191;6894
1;3;Nordviertel;2018;4511;2745;1928;749;184;237;7936
1;4;Westviertel;2018;1412;845;612;189;31;37;2386
1;5;Südviertel;2018;7645;5087;3932;836;127;210;11845
1;6;Südostviertel;2018;7589;4804;3568;1142;248;305;12775
1;11;Huttrop;2018;8127;4176;2759;1392;204;344;14871
1;36;Frillendorf;2018;2840;1290;915;529;69;131;5586
2;10;Rüttenscheid;2018;18013;10994;8161;2247;162;458;28942
2;12;Rellinghausen;2018;1669;752;495;287;23;44;3239
2;13;Bergerhausen;2018;6344;3187;2134;1018;107;194;11513
2;14;Stadtwald;2018;5109;2318;1522;880;91;140;9756
3;7;Altendorf;2018;12152;6946;5060;2274;525;741;22291
3;8;Frohnhausen;2018;19062;11155;8119;2824;423;926;32433
3;9;Holsterhausen;2018;16442;10541;7771;2076;249;597;25993
3;15;Fulerum;2018;1696;672;411;308;24;63;3301
3;28;Haarzopf;2018;3325;1299;762;617;51;93;6717
3;41;Margarethenhöhe;2018;3727;1770;1074;694;85;158;7055
4;16;Schönebeck;2018;4962;2068;1353;853;85;154;9761
4;17;Bedingrade;2018;6384;2863;1843;1006;89;243;11979
4;18;Frintrop;2018;4521;2169;1470;718;84;189;8387
4;19;Dellwig;2018;4707;2120;1419;873;119;285;9021
4;20;Gerschede;2018;3911;1661;1143;727;94;136;7791
4;21;Borbeck-Mitte;2018;7312;3693;2462;1209;141;331;13428
4;22;Bochold;2018;9273;4463;2978;1802;343;532;17995
4;23;Bergeborbeck;2018;2251;1075;779;503;87;193;4363
5;24;Altenessen-Nord;2018;8099;3397;2293;1794;305;459;17050
5;25;Altenessen-Süd;2018;14043;7237;5072;2842;578;854;26991
5;40;Karnap;2018;3959;1748;1246;833;155;224;8102
5;50;Vogelheim;2018;2742;1157;814;659;112;186;5704
6;37;Schonnebeck;2018;5465;2231;1500;1227;175;312;11335
6;38;Stoppenberg;2018;8005;3269;2258;1794;237;476;16606
6;39;Katernberg;2018;10855;4375;2982;2780;560;825;23728
7;34;Steele;2018;8757;4439;2943;1417;203;358;16136
7;35;Kray;2018;10145;5045;3568;1981;345;597;19537
7;45;Freisenbruch;2018;8283;3491;2148;1802;292;557;16709
7;46;Horst;2018;5034;1825;1203;1163;244;238;10991
7;47;Leithe;2018;3217;1282;778;638;78;135;6531
8;31;Heisingen;2018;6424;2571;1557;1198;98;190;12772
8;32;Kupferdreh;2018;5709;2402;1639;1185;117;221;11445
8;33;Byfang;2018;984;343;207;160;12;20;2020
8;43;Überruhr-Hinsel;2018;3983;1653;975;651;53;141;7696
8;44;Überruhr-Holthausen;2018;3893;1474;890;777;89;143;7959
8;48;Burgaltendorf;2018;4644;1725;1121;850;82;131;9404
9;26;Bredeney;2018;5849;2750;1759;953;89;146;10961
9;27;Schuir;2018;675;265;157;145;14;18;1418
9;29;Werden;2018;5356;2790;1697;811;82;165;9574
9;30;Heidhausen;2018;3074;1169;731;661;71;77;6473
9;42;Fischlaken;2018;2258;892;556;446;36;75;4516
9;49;Kettwig;2018;9355;4118;2522;1595;140;312;17832
1;1;Stadtkern;2017;2393;1643;1193;274;67;75;3827
1;2;Ostviertel;2017;3940;2409;1780;652;160;210;6902
1;3;Nordviertel;2017;4589;2844;1960;756;187;252;7959
1;4;Westviertel;2017;1403;825;594;187;32;32;2391
1;5;Südviertel;2017;7583;5049;3876;853;122;219;11737
1;6;Südostviertel;2017;7596;4800;3566;1126;250;316;12796
1;11;Huttrop;2017;8276;4185;2736;1435;191;369;15192
1;36;Frillendorf;2017;2851;1299;910;541;74;136;5629
2;10;Rüttenscheid;2017;17923;10877;7990;2197;157;474;28783
2;12;Rellinghausen;2017;1673;742;494;297;26;41;3266
2;13;Bergerhausen;2017;6391;3224;2139;1016;97;203;11547
2;14;Stadtwald;2017;5127;2303;1500;901;87;150;9835
3;7;Altendorf;2017;12207;7026;5113;2225;522;715;22281
3;8;Frohnhausen;2017;18914;11016;7960;2836;415;933;32234
3;9;Holsterhausen;2017;16346;10403;7650;2059;248;593;25889
3;15;Fulerum;2017;1713;656;407;307;23;68;3342
3;28;Haarzopf;2017;3345;1307;779;613;50;86;6738
3;41;Margarethenhöhe;2017;3741;1762;1068;708;77;159;7100
4;16;Schönebeck;2017;4966;2049;1342;866;92;145;9816
4;17;Bedingrade;2017;6379;2848;1854;1008;87;244;11994
4;18;Frintrop;2017;4555;2162;1451;740;87;184;8503
4;19;Dellwig;2017;4724;2124;1417;864;107;276;9010
4;20;Gerschede;2017;3899;1638;1138;730;89;139;7788
4;21;Borbeck-Mitte;2017;7390;3727;2431;1215;147;330;13603
4;22;Bochold;2017;9252;4367;2911;1791;328;536;17980
4;23;Bergeborbeck;2017;2248;1043;746;521;77;208;4399
5;24;Altenessen-Nord;2017;8108;3390;2296;1799;299;469;17065
5;25;Altenessen-Süd;2017;13871;7130;5008;2812;562;833;26716
5;40;Karnap;2017;3967;1753;1240;832;154;228;8092
5;50;Vogelheim;2017;2720;1132;799;664;110;192;5693
6;37;Schonnebeck;2017;5450;2230;1488;1212;176;324;11308
6;38;Stoppenberg;2017;7996;3232;2225;1828;234;489;16651
6;39;Katernberg;2017;10829;4365;2947;2728;543;773;23599
7;34;Steele;2017;8713;4372;2895;1409;184;363;16067
7;35;Kray;2017;10146;4992;3503;1998;339;624;19560
7;45;Freisenbruch;2017;8264;3457;2123;1767;291;542;16653
7;46;Horst;2017;5062;1834;1204;1165;227;232;11009
7;47;Leithe;2017;3201;1277;767;655;78;150;6523
8;31;Heisingen;2017;6392;2543;1537;1201;102;179;12765
8;32;Kupferdreh;2017;5663;2356;1589;1174;109;210;11412
8;33;Byfang;2017;986;344;212;158;13;16;2028
8;43;Überruhr-Hinsel;2017;3960;1645;946;641;55;137;7656
8;44;Überruhr-Holthausen;2017;3826;1427;861;752;86;144;7816
8;48;Burgaltendorf;2017;4634;1694;1115;847;81;132;9432
9;26;Bredeney;2017;5801;2723;1754;958;89;157;10885
9;27;Schuir;2017;691;280;174;147;15;17;1442
9;29;Werden;2017;5381;2790;1707;816;77;163;9616
9;30;Heidhausen;2017;3014;1149;709;646;74;84;6343
9;42;Fischlaken;2017;2223;887;557;424;34;69;4428
9;49;Kettwig;2017;9298;4093;2514;1601;132;334;17717
1;1;Stadtkern;2016;2335;1589;1152;277;62;82;3738
1;2;Ostviertel;2016;3934;2440;1793;607;148;197;6779
1;3;Nordviertel;2016;4610;2899;1972;723;172;245;7859
1;4;Westviertel;2016;1358;825;607;158;29;30;2237
1;5;Südviertel;2016;7523;4984;3855;867;114;231;11654
1;6;Südostviertel;2016;7556;4778;3529;1086;237;333;12581
1;11;Huttrop;2016;8302;4244;2804;1440;188;373;15181
1;36;Frillendorf;2016;2881;1309;927;541;68;141;5678
2;10;Rüttenscheid;2016;17801;10833;8094;2201;151;483;28555
2;12;Rellinghausen;2016;1666;725;488;299;24;53;3274
2;13;Bergerhausen;2016;6397;3223;2200;1011;88;206;11569
2;14;Stadtwald;2016;5126;2286;1513;908;83;159;9835
3;7;Altendorf;2016;12235;7078;5098;2168;467;704;22071
3;8;Frohnhausen;2016;18883;10961;8036;2815;410;908;32125
3;9;Holsterhausen;2016;16385;10478;7760;2014;225;601;25796
3;15;Fulerum;2016;1681;640;409;308;26;66;3307
3;28;Haarzopf;2016;3296;1288;797;614;49;97;6665
3;41;Margarethenhöhe;2016;3694;1724;1073;697;63;152;7006
4;16;Schönebeck;2016;4946;2017;1342;857;96;144;9784
4;17;Bedingrade;2016;6330;2809;1879;1022;81;232;11981
4;18;Frintrop;2016;4536;2096;1432;751;84;196;8528
4;19;Dellwig;2016;4698;2108;1404;842;90;267;8968
4;20;Gerschede;2016;3903;1603;1127;724;86;140;7826
4;21;Borbeck-Mitte;2016;7348;3700;2417;1203;132;339;13500
4;22;Bochold;2016;9288;4330;2944;1793;325;546;18100
4;23;Bergeborbeck;2016;2248;1060;762;514;72;201;4355
5;24;Altenessen-Nord;2016;8140;3440;2330;1784;298;449;17094
5;25;Altenessen-Süd;2016;13884;7093;5012;2771;547;816;26695
5;40;Karnap;2016;3958;1752;1218;819;146;215;8029
5;50;Vogelheim;2016;2710;1120;819;661;110;188;5711
6;37;Schonnebeck;2016;5475;2241;1506;1179;169;322;11277
6;38;Stoppenberg;2016;7990;3231;2260;1848;237;489;16603
6;39;Katernberg;2016;10913;4442;3020;2693;499;735;23574
7;34;Steele;2016;8736;4354;2949;1419;172;377;16096
7;35;Kray;2016;10071;4956;3486;1952;322;593;19414
7;45;Freisenbruch;2016;8157;3354;2045;1741;270;521;16510
7;46;Horst;2016;4981;1790;1179;1104;199;222;10731
7;47;Leithe;2016;3240;1319;784;639;66;144;6520
8;31;Heisingen;2016;6363;2527;1552;1193;109;187;12754
8;32;Kupferdreh;2016;5685;2371;1622;1145;104;196;11399
8;33;Byfang;2016;991;341;215;156;13;17;2046
8;43;Überruhr-Hinsel;2016;3959;1612;940;655;53;147;7713
8;44;Überruhr-Holthausen;2016;3855;1427;883;750;78;145;7860
8;48;Burgaltendorf;2016;4621;1712;1146;845;72;130;9383
9;26;Bredeney;2016;5804;2737;1804;950;88;143;10877
9;27;Schuir;2016;682;261;162;142;12;17;1444
9;29;Werden;2016;5364;2770;1711;827;73;162;9582
9;30;Heidhausen;2016;2993;1136;724;632;72;93;6271
9;42;Fischlaken;2016;2211;881;571;429;36;77;4412
9;49;Kettwig;2016;9175;3978;2497;1582;128;313;17578
1;1;Stadtkern;2015;2265;1563;1117;262;57;85;3581
1;2;Ostviertel;2015;3856;2337;1713;611;138;197;6717
1;3;Nordviertel;2015;4698;2932;1946;754;168;252;8078
1;4;Westviertel;2015;1214;736;542;148;30;33;2057
1;5;Südviertel;2015;7493;4921;3752;829;101;216;11632
1;6;Südostviertel;2015;7382;4667;3405;1053;231;332;12317
1;11;Huttrop;2015;8061;4044;2653;1405;167;389;14824
1;36;Frillendorf;2015;2876;1322;935;523;67;122;5625
2;10;Rüttenscheid;2015;17633;10621;7950;2212;152;506;28559
2;12;Rellinghausen;2015;1671;721;479;308;24;50;3299
2;13;Bergerhausen;2015;6401;3212;2135;1023;98;215;11618
2;14;Stadtwald;2015;5140;2298;1529;899;80;152;9871
3;7;Altendorf;2015;12055;6913;4960;2077;431;660;21786
3;8;Frohnhausen;2015;18719;10777;7845;2803;394;942;31970
3;9;Holsterhausen;2015;16213;10357;7580;1952;200;569;25558
3;15;Fulerum;2015;1663;621;388;323;26;66;3320
3;28;Haarzopf;2015;3257;1259;759;616;49;95;6629
3;41;Margarethenhöhe;2015;3685;1696;1054;683;63;153;7031
4;16;Schönebeck;2015;4947;1986;1309;843;85;153;9785
4;17;Bedingrade;2015;6283;2734;1820;1005;76;242;11939
4;18;Frintrop;2015;4504;2058;1395;754;74;205;8476
4;19;Dellwig;2015;4595;2047;1378;813;77;260;8790
4;20;Gerschede;2015;3853;1517;1065;734;75;143;7803
4;21;Borbeck-Mitte;2015;7298;3599;2344;1203;136;334;13522
